epoch,acc,bal_acc,auc,prec,rec,f1,loss
0,0.7631755999102938,0.5029817184796328,0.5029817184796329,0.7631755999102938,0.7631755999102938,0.7631755999102937,0.0
1,0.7633998654406817,0.5031285613577533,0.5031285613577533,0.7633998654406817,0.7633998654406817,0.7633998654406817,0.0
2,0.7645211930926217,0.5051729374427048,0.5051729374427048,0.7645211930926217,0.7645211930926217,0.7645211930926217,0.0
3,0.7649697241533976,0.505794163622533,0.5057941636225329,0.7649697241533976,0.7649697241533976,0.7649697241533976,0.0
4,0.7631755999102938,0.501344016361696,0.501344016361696,0.7631755999102938,0.7631755999102938,0.7631755999102937,0.0
5,0.7647454586230097,0.5049922398972378,0.504992239897238,0.7647454586230097,0.7647454586230097,0.7647454586230097,0.0
6,0.7663153173357256,0.5073303017384302,0.5073303017384302,0.7663153173357256,0.7663153173357256,0.7663153173357256,0.0
7,0.7642969275622337,0.5046985541409971,0.5046985541409971,0.7642969275622337,0.7642969275622337,0.7642969275622337,0.0
8,0.7645211930926217,0.5041903161719427,0.5041903161719428,0.7645211930926217,0.7645211930926217,0.7645211930926217,0.0
9,0.7649697241533976,0.5044840019281835,0.5044840019281835,0.7649697241533976,0.7649697241533976,0.7649697241533976,0.0

Run Arguments:
cuda: True
gpu: 0
cuda_block: False
epochs: 10
batch_size: 8
seed: 3435
patience: 5
log_every: 10
imbalance_fix: loss_weight
data_dir: C:\Users\jjnunez\PycharmProjects\scar_nlp_data\data
results_dir: C:\Users\jjnunez\PycharmProjects\scar_nlp\results
data_version: ppv4
target: dspln_SOCIALWORK_0
dataset: SCAR
debug: False
max_features: 1000
use_idf: True
classifier: rf
rf_estimators: 50
elnet_l1_ratio: 0.67
elnet_alpha: 0.1
elnet_power_t: 0.01
gbdt_estimators: 100
gbdt_lr: 0.1
gbdt_max_depth: 3
l2logreg_c: 0.092
