epoch,acc,bal_acc,auc,prec,rec,f1,loss
0,0.23627738875084708,0.5,0.5,0.23627738875084708,0.23627738875084708,0.23627738875084708,1.0851821359112965
1,0.35238310368195164,0.5476221580160869,0.5476221580160869,0.35238310368195164,0.35238310368195164,0.35238310368195164,1.0805468216216823
2,0.6550711542805512,0.6295839476367486,0.6295839476367486,0.6550711542805512,0.6550711542805512,0.6550711542805512,1.0069138167573393
3,0.6905353512536706,0.6478500370137248,0.6478500370137247,0.6905353512536706,0.6905353512536706,0.6905353512536706,0.9815821356052975
4,0.7086062796476169,0.6444950496617302,0.6444950496617302,0.7086062796476169,0.7086062796476169,0.7086062796476169,0.9965366339512008
5,0.7113169189067088,0.63999727416114,0.63999727416114,0.7113169189067088,0.7113169189067088,0.7113169189067088,1.0332085415184926
6,0.7194488366839846,0.6387186182145982,0.6387186182145983,0.7194488366839846,0.7194488366839846,0.7194488366839846,1.0727638949593195
7,0.7280325276711092,0.6354248491316055,0.6354248491316054,0.7280325276711092,0.7280325276711092,0.7280325276711092,1.140426219367295
8,0.730743166930201,0.6263053063939018,0.6263053063939018,0.730743166930201,0.730743166930201,0.7307431669302009,1.2194938458127083
9,0.7418116105714931,0.620016507725378,0.6200165077253779,0.7418116105714931,0.7418116105714931,0.7418116105714931,1.3315167285555558
10,0.7388750847074769,0.6263471553722495,0.6263471553722495,0.7388750847074769,0.7388750847074769,0.7388750847074769,1.3404547724363616
11,0.7368421052631579,0.6260065668964402,0.6260065668964402,0.7368421052631579,0.7368421052631579,0.7368421052631579,1.3913995855146175
12,0.7474587756946013,0.6190918715145881,0.6190918715145881,0.7474587756946013,0.7474587756946013,0.7474587756946013,1.545150740112332
13,0.7366162186582336,0.6159548947187155,0.6159548947187156,0.7366162186582336,0.7366162186582336,0.7366162186582336,1.5821607899751595
14,0.7361644454483849,0.6156591242366096,0.6156591242366096,0.7361644454483849,0.7361644454483849,0.7361644454483849,1.6160142878405481
15,0.7402304043370228,0.6074268929452237,0.6074268929452236,0.7402304043370228,0.7402304043370228,0.7402304043370229,1.793386184054313
16,0.7470070024847526,0.6151647124890358,0.6151647124890358,0.7470070024847526,0.7470070024847526,0.7470070024847526,1.8555963892730878
17,0.7395527445222498,0.6149062667714023,0.6149062667714023,0.7395527445222498,0.7395527445222498,0.73955274452225,1.8737567646040334

Run Arguments:
cuda: True
gpu: 0
cuda_block: False
epochs: 100
batch_size: 32
seed: 3435
patience: 5
log_every: 10
imbalance_fix: loss_weight
data_dir: C:\Users\jjnunez\PycharmProjects\scar_nlp_data\data
results_dir: C:\Users\jjnunez\PycharmProjects\scar_nlp\results
data_version: ppv4
target: dspln_SOCIALWORK_0
dataset: SCAR
debug: False
bidirectional: False
num_layers: 2
hidden_dim: 128
mode: rand
words_dim: 300
embed_dim: 300
weight_decay: 0
dropout: 0.5
lr: 0.0001
pretrained_dir: C:\Users\jjnunez\PycharmProjects\hedwig-data\embeddings\word2vec
pretrained_file: GoogleNews-vectors-negative300.txt
results_path: results\reg_lstm
device: cuda:0
