epoch,acc,bal_acc,auc,prec,rec,f1,loss
0,0.37677885701377906,0.5498211760791816,0.5498211760791816,0.37677885701377906,0.37677885701377906,0.37677885701377906,1.3010091713006549
1,0.1630901287553648,0.5224216085835481,0.5224216085835482,0.1630901287553648,0.1630901287553648,0.1630901287553648,1.30059669729617
2,0.18748588208719222,0.5617025700740248,0.5617025700740248,0.18748588208719222,0.18748588208719222,0.18748588208719222,1.2978202237499703
3,0.37429410435961147,0.5844693504117109,0.5844693504117109,0.37429410435961147,0.37429410435961147,0.37429410435961147,1.287260588553312
4,0.5434831714479331,0.5983157281876403,0.5983157281876403,0.5434831714479331,0.5434831714479331,0.5434831714479331,1.2479104056632777
5,0.5769143889767336,0.6152416202278965,0.6152416202278965,0.5769143889767336,0.5769143889767336,0.5769143889767336,1.2264812730199142
6,0.6641066184775243,0.6414330865840472,0.6414330865840472,0.6641066184775243,0.6641066184775243,0.6641066184775243,1.1925371329990222
7,0.8710187485882087,0.5935893703734509,0.5935893703734508,0.8710187485882087,0.8710187485882087,0.8710187485882087,1.3373622036666322
8,0.9078382651908742,0.5853010895783082,0.5853010895783082,0.9078382651908742,0.9078382651908742,0.9078382651908742,2.0124224664496
9,0.8482042014908516,0.599991682608334,0.599991682608334,0.8482042014908516,0.8482042014908516,0.8482042014908516,1.7467501701639712
10,0.8847978314885927,0.5646594028112784,0.5646594028112784,0.8847978314885927,0.8847978314885927,0.8847978314885927,1.6380886391555662
11,0.8985769143889767,0.5536825251601097,0.5536825251601097,0.8985769143889767,0.8985769143889767,0.8985769143889767,1.7126230972705128
12,0.858143212107522,0.5691175247442402,0.5691175247442403,0.858143212107522,0.858143212107522,0.858143212107522,1.58874754918565
13,0.7253218884120172,0.6275430425018713,0.6275430425018714,0.7253218884120172,0.7253218884120172,0.7253218884120172,1.5878344184631923

Run Arguments:
cuda: True
gpu: 0
cuda_block: False
epochs: 100
batch_size: 32
seed: 3435
patience: 5
log_every: 10
imbalance_fix: loss_weight
data_dir: C:\Users\jjnunez\PycharmProjects\scar_nlp_data\data
results_dir: C:\Users\jjnunez\PycharmProjects\scar_nlp\results
data_version: ppv4
target: dsplnmulti_PSYCHIATRY_2
dataset: SCAR
debug: False
bidirectional: False
num_layers: 2
hidden_dim: 128
mode: rand
words_dim: 300
embed_dim: 300
weight_decay: 0
dropout: 0.5
lr: 0.0001
pretrained_dir: C:\Users\jjnunez\PycharmProjects\hedwig-data\embeddings\word2vec
pretrained_file: GoogleNews-vectors-negative300.txt
results_path: results\reg_lstm
device: cuda:0
