epoch,acc,bal_acc,auc,prec,rec,f1,loss
0,0.8820363310159228,0.5,0.5,0.8820363310159228,0.8820363310159228,0.8820363310159228,0.0
1,0.8820363310159228,0.5,0.5,0.8820363310159228,0.8820363310159228,0.8820363310159228,0.0
2,0.8820363310159228,0.5,0.5,0.8820363310159228,0.8820363310159228,0.8820363310159228,0.0
3,0.8820363310159228,0.5,0.5,0.8820363310159228,0.8820363310159228,0.8820363310159228,0.0
4,0.8820363310159228,0.5,0.5,0.8820363310159228,0.8820363310159228,0.8820363310159228,0.0
5,0.8820363310159228,0.5,0.5,0.8820363310159228,0.8820363310159228,0.8820363310159228,0.0
6,0.8820363310159228,0.5,0.5,0.8820363310159228,0.8820363310159228,0.8820363310159228,0.0
7,0.8820363310159228,0.5,0.5,0.8820363310159228,0.8820363310159228,0.8820363310159228,0.0
8,0.8820363310159228,0.5,0.5,0.8820363310159228,0.8820363310159228,0.8820363310159228,0.0
9,0.8820363310159228,0.5,0.5,0.8820363310159228,0.8820363310159228,0.8820363310159228,0.0

Run Arguments:
cuda: True
gpu: 0
cuda_block: False
epochs: 10
batch_size: 8
seed: 3435
patience: 5
log_every: 10
imbalance_fix: loss_weight
data_dir: C:\Users\jjnunez\PycharmProjects\scar_nlp_data\data
results_dir: C:\Users\jjnunez\PycharmProjects\scar_nlp\results
data_version: ppv4
target: dsplnmulti_SOCIALWORK_2
dataset: SCAR
debug: False
max_features: 1000
use_idf: True
classifier: rf
rf_estimators: 50
elnet_l1_ratio: 0.67
elnet_alpha: 0.1
elnet_power_t: 0.01
gbdt_estimators: 100
gbdt_lr: 0.1
gbdt_max_depth: 3
l2logreg_c: 0.092
