epoch,acc,bal_acc,auc,prec,rec,f1,loss
0,0.24734583239213914,0.5360258731069805,0.5360258731069805,0.24734583239213914,0.24734583239213914,0.24734583239213914,1.2523890780888016
1,0.43370228145470974,0.5736149744163342,0.5736149744163342,0.43370228145470974,0.43370228145470974,0.4337022814547098,1.2484226689921867
2,0.44635193133047213,0.5849343360756668,0.5849343360756668,0.44635193133047213,0.44635193133047213,0.44635193133047213,1.2140312769430146
3,0.6345154732324373,0.6301862726340628,0.6301862726340628,0.6345154732324373,0.6345154732324373,0.6345154732324373,1.1674786694615864
4,0.688728258414276,0.6410005837883448,0.6410005837883448,0.688728258414276,0.688728258414276,0.688728258414276,1.156506908025673
5,0.7650779308786989,0.5988076490990527,0.5988076490990526,0.7650779308786989,0.7650779308786989,0.7650779308786989,1.2060183119430816
6,0.6607183194036593,0.6201446225244185,0.6201446225244186,0.6607183194036593,0.6607183194036593,0.6607183194036593,1.185726916189674
7,0.6543934944657782,0.6173892887103183,0.6173892887103184,0.6543934944657782,0.6543934944657782,0.6543934944657782,1.195063259104173
8,0.6223175965665236,0.6141441123228398,0.6141441123228397,0.6223175965665236,0.6223175965665236,0.6223175965665236,1.2063544040961232
9,0.7034108877343573,0.6244288440500194,0.6244288440500193,0.7034108877343573,0.7034108877343573,0.7034108877343573,1.1730410310861876
10,0.7081545064377682,0.5972444208966793,0.5972444208966793,0.7081545064377682,0.7081545064377682,0.7081545064377682,1.2233535201429464

Run Arguments:
cuda: True
gpu: 0
cuda_block: False
epochs: 100
batch_size: 32
seed: 3435
patience: 5
log_every: 10
imbalance_fix: loss_weight
data_dir: C:\Users\jjnunez\PycharmProjects\scar_nlp_data\data
results_dir: C:\Users\jjnunez\PycharmProjects\scar_nlp\results
data_version: ppv4
target: dsplnmulti_SOCIALWORK_2
dataset: SCAR
debug: False
bidirectional: False
num_layers: 2
hidden_dim: 128
mode: rand
words_dim: 300
embed_dim: 300
weight_decay: 0
dropout: 0.5
lr: 0.0001
pretrained_dir: C:\Users\jjnunez\PycharmProjects\hedwig-data\embeddings\word2vec
pretrained_file: GoogleNews-vectors-negative300.txt
results_path: results\reg_lstm
device: cuda:0
