epoch,acc,bal_acc,auc,prec,rec,spec,f1,loss,ppv,npv,tp,fp,tn,fn
0,0.1619197130203247,0.5375528335571289,0.6099053621292114,0.020220588892698288,0.9277108311653137,0.14739488065242767,0.03957851603627205,1.4069552421569824,0.02022058823529412,0.9907834101382489,77.0,3731.0,645.0,6.0
1,0.4839650094509125,0.5479738712310791,0.5989722013473511,0.02198275923728943,0.6144578456878662,0.48148995637893677,0.04244694113731384,1.4037522077560425,0.021982758620689654,0.9850397381954185,51.0,2269.0,2107.0,32.0
2,0.563579261302948,0.5353475213050842,0.5913952589035034,0.021571649238467216,0.5060241222381592,0.5646709203720093,0.04137931391596794,1.4013619422912598,0.02157164869029276,0.9836783439490446,42.0,1905.0,2471.0,41.0
3,0.6100022196769714,0.5412697792053223,0.5946647524833679,0.022491348907351494,0.46987950801849365,0.6126599907875061,0.042927902191877365,1.3979853391647339,0.02249134948096886,0.9838532110091743,39.0,1695.0,2681.0,44.0
4,0.6093294620513916,0.5409269332885742,0.5965094566345215,0.022452503442764282,0.46987950801849365,0.6119744181632996,0.04285714030265808,1.394655704498291,0.022452504317789293,0.9838354151359294,39.0,1698.0,2678.0,44.0
5,0.6779546737670898,0.5463412404060364,0.6007686853408813,0.023926811292767525,0.40963855385780334,0.683043897151947,0.0452127605676651,1.3925724029541016,0.023926812104152005,0.9838709677419355,34.0,1387.0,2989.0,49.0
6,0.6703296899795532,0.5483662486076355,0.6096727252006531,0.02402196265757084,0.42168673872947693,0.6750457286834717,0.04545454680919647,1.387683391571045,0.024021962937542895,0.9840106595602931,35.0,1422.0,2954.0,48.0
7,0.7279658913612366,0.5659112930297852,0.6173019409179688,0.027591973543167114,0.39759036898612976,0.7342321872711182,0.051602814346551895,1.3850018978118896,0.027591973244147156,0.9846766779037696,33.0,1163.0,3213.0,50.0
8,0.7261717915534973,0.5649971961975098,0.6217002868652344,0.02740863710641861,0.39759036898612976,0.7324039936065674,0.05128205195069313,1.3810272216796875,0.027408637873754152,0.9846390168970814,33.0,1171.0,3205.0,50.0
9,0.7730432748794556,0.5770577788352966,0.6282956600189209,0.03128153458237648,0.3734939694404602,0.7806215882301331,0.0577281229197979,1.379271149635315,0.03128153380423814,0.9850057670126874,31.0,960.0,3416.0,52.0
10,0.7965911626815796,0.5831452012062073,0.6368279457092285,0.03393665328621864,0.3614457845687866,0.8048446178436279,0.062047574669122696,1.3759914636611938,0.033936651583710405,0.9851748251748251,30.0,854.0,3522.0,53.0
11,0.8134110569953918,0.58580482006073,0.6446168422698975,0.03593556210398674,0.34939759969711304,0.8222120404243469,0.06516853719949722,1.3729116916656494,0.03593556381660471,0.9852135815991238,29.0,778.0,3598.0,54.0
12,0.8125140070915222,0.5853477716445923,0.6518331170082092,0.03575832396745682,0.34939759969711304,0.8212980031967163,0.0648769661784172,1.3678802251815796,0.035758323057953144,0.9851973684210527,29.0,782.0,3594.0,54.0
13,0.8351648449897766,0.5909781455993652,0.6579205989837646,0.03954802080988884,0.33734938502311707,0.8446069359779358,0.07079645991325378,1.3669148683547974,0.03954802259887006,0.9853372434017595,28.0,680.0,3696.0,55.0
14,0.8623009920120239,0.5988937616348267,0.6654974222183228,0.04615384712815285,0.3253012001514435,0.8724862933158875,0.08083832263946533,1.3679479360580444,0.046153846153846156,0.9855446566855963,27.0,558.0,3818.0,56.0
15,0.849517822265625,0.5982908010482788,0.6730964183807373,0.043478261679410934,0.33734938502311707,0.8592321872711182,0.07702888548374176,1.360459327697754,0.043478260869565216,0.9855832241153342,28.0,616.0,3760.0,55.0
16,0.8477237224578857,0.6091964244842529,0.6785340309143066,0.04573170840740204,0.3614457845687866,0.8569470047950745,0.0811908021569252,1.3564835786819458,0.04573170731707317,0.9860636339731791,30.0,626.0,3750.0,53.0
17,0.8721686601638794,0.6039211750030518,0.683382511138916,0.04990758001804352,0.3253012001514435,0.8825411200523376,0.08653846383094788,1.3596776723861694,0.04990757855822551,0.9857069933639612,27.0,514.0,3862.0,56.0
18,0.8869701623916626,0.5996426343917847,0.6896461248397827,0.053078554570674896,0.3012048304080963,0.8980804681777954,0.09025270491838455,1.363383412361145,0.05307855626326964,0.9854563691073219,25.0,446.0,3930.0,58.0
19,0.8845032453536987,0.6042956113815308,0.6941697001457214,0.05371900647878647,0.3132530152797699,0.895338237285614,0.09171075373888016,1.3598575592041016,0.05371900826446281,0.9856603773584905,26.0,458.0,3918.0,57.0
20,0.8984076976776123,0.593650221824646,0.6986162066459656,0.05528846010565758,0.27710843086242676,0.9101919531822205,0.09218436479568481,1.3669984340667725,0.055288461538461536,0.9851595349987633,23.0,393.0,3983.0,60.0
21,0.8910069465637207,0.5898796319961548,0.702187180519104,0.05122494325041771,0.27710843086242676,0.9026508331298828,0.08646616339683533,1.3631969690322876,0.051224944320712694,0.9850374064837906,23.0,426.0,3950.0,60.0

Run Arguments:
cuda: True
gpu: 0
cuda_block: False
epochs: 100
batch_size: 8
seed: 3435
patience: 5
monitor_metric: bal_acc
log_every: 10
imbalance_fix: loss_weight
data_dir: C:\Users\jjnunez\PycharmProjects\scar_nlp_data\data
results_dir: C:\Users\jjnunez\PycharmProjects\scar_nlp\results
data_version: ppv4
target: need_emots_5
table: need_emots_dif_n
table_extra: 5
dataset: SCAR
debug: False
mode: rand
output_channel: 500
words_dim: 300
embed_dim: 300
dropout: 0.5
lr: 1e-05
weight_decay: 0
pretrained_dir: C:\Users\jjnunez\PycharmProjects\hedwig-data\embeddings\word2vec
pretrained_file: GoogleNews-vectors-negative300.txt
device: cuda:0
target_classes: 1
vocab_size: 21529
run_name: CNN_20220209-2138
results_dir_target: C:\Users\jjnunez\PycharmProjects\scar_nlp\results\need_emots_5
results_dir_model: C:\Users\jjnunez\PycharmProjects\scar_nlp\results\need_emots_5\CNN
