epoch,acc,bal_acc,auc,prec,rec,spec,f1,loss,ppv,npv,tp,fp,tn,fn
0,0.9813859462738037,0.5,0.5737800598144531,0.0,0.0,1.0,0.0,1.4205667972564697,0.0,0.9813859609777977,0.0,0.0,4376.0,83.0
1,0.9813859462738037,0.5,0.5803382992744446,0.0,0.0,1.0,0.0,1.4198893308639526,0.0,0.9813859609777977,0.0,0.0,4376.0,83.0
2,0.9813859462738037,0.5,0.5834728479385376,0.0,0.0,1.0,0.0,1.419124722480774,0.0,0.9813859609777977,0.0,0.0,4376.0,83.0
3,0.9813859462738037,0.5,0.5874181985855103,0.0,0.0,1.0,0.0,1.418310523033142,0.0,0.9813859609777977,0.0,0.0,4376.0,83.0
4,0.9811617136001587,0.4998857378959656,0.5882868766784668,0.0,0.0,0.9997714757919312,0.0,1.4172861576080322,0.0,0.9813817855540601,0.0,1.0,4375.0,83.0
5,0.9789190292358398,0.5046529769897461,0.5909630060195923,0.07692307978868484,0.012048192322254181,0.9972577691078186,0.0208333320915699,1.4169917106628418,0.07692307692307693,0.9815564552406658,1.0,12.0,4364.0,82.0
6,0.9775734543800354,0.5098772644996643,0.5925778150558472,0.095238097012043,0.024096384644508362,0.9956581592559814,0.038461536169052124,1.4170562028884888,0.09523809523809523,0.9817485353762956,2.0,19.0,4357.0,81.0
7,0.9766764044761658,0.5153300762176514,0.5961185097694397,0.1111111119389534,0.03614457696676254,0.9945155382156372,0.05454545095562935,1.4175024032592773,0.1111111111111111,0.9819494584837545,3.0,24.0,4352.0,80.0
8,0.9735366702079773,0.5196402668952942,0.598158597946167,0.09302325546741486,0.048192769289016724,0.9910877346992493,0.0634920597076416,1.4177355766296387,0.09302325581395349,0.9821105072463768,4.0,39.0,4337.0,79.0
9,0.9647902846336365,0.5210939645767212,0.6023986339569092,0.0595238097012043,0.0602409653365612,0.9819470047950745,0.05988023802638054,1.4144957065582275,0.05952380952380952,0.9821714285714286,5.0,79.0,4297.0,78.0
10,0.969948410987854,0.5237219333648682,0.6062146425247192,0.08196721225976944,0.0602409653365612,0.9872029423713684,0.0694444477558136,1.4178357124328613,0.08196721311475409,0.9822646657571623,5.0,56.0,4320.0,78.0
11,0.9663601517677307,0.5218937993049622,0.6106721758842468,0.06493506580591202,0.0602409653365612,0.9835466146469116,0.0625,1.4169350862503052,0.06493506493506493,0.9821999087174806,5.0,72.0,4304.0,78.0
12,0.9589594006538391,0.5299428701400757,0.615465521812439,0.061403509229421616,0.08433734625577927,0.9755484461784363,0.0710659921169281,1.4141206741333008,0.06140350877192982,0.9825086306098965,7.0,107.0,4269.0,76.0
13,0.9598564505577087,0.5303999185562134,0.620699405670166,0.06363636255264282,0.08433734625577927,0.9764625430107117,0.07253885269165039,1.4156579971313477,0.06363636363636363,0.9825247183260519,7.0,103.0,4273.0,76.0
14,0.9578380584716797,0.5352814197540283,0.6269919872283936,0.06611569970846176,0.09638553857803345,0.974177360534668,0.07843136787414551,1.4142334461212158,0.06611570247933884,0.9827109266943291,8.0,113.0,4263.0,75.0
15,0.9598564505577087,0.5363097786903381,0.6305174827575684,0.0714285746216774,0.09638553857803345,0.9762340188026428,0.08205128461122513,1.41603684425354,0.07142857142857142,0.9827467218771566,8.0,104.0,4272.0,75.0
16,0.9571653008460999,0.5408484935760498,0.6366103887557983,0.0714285746216774,0.10843373835086823,0.9732632637023926,0.08612440526485443,1.4140512943267822,0.07142857142857142,0.9829217632125549,9.0,117.0,4259.0,74.0
17,0.9605292677879333,0.5307427048683167,0.6397188305854797,0.06542056053876877,0.08433734625577927,0.9771480560302734,0.0736842080950737,1.4191386699676514,0.06542056074766354,0.9825367647058824,7.0,100.0,4276.0,76.0
18,0.9538012742996216,0.5450444221496582,0.644128143787384,0.0699300691485405,0.1204819306731224,0.9696069359779358,0.08849556744098663,1.4148151874542236,0.06993006993006994,0.9830861909175163,10.0,133.0,4243.0,73.0
19,0.9538012742996216,0.5450444221496582,0.6498342752456665,0.0699300691485405,0.1204819306731224,0.9696069359779358,0.08849556744098663,1.4148097038269043,0.06993006993006994,0.9830861909175163,10.0,133.0,4243.0,73.0
20,0.9540255665779114,0.5392488837242126,0.6533721685409546,0.06428571790456772,0.10843373835086823,0.9700639843940735,0.08071749657392502,1.4172669649124146,0.06428571428571428,0.9828664042602454,9.0,131.0,4245.0,74.0
21,0.9578380584716797,0.5411912798881531,0.6568137407302856,0.0731707289814949,0.10843373835086823,0.9739488363265991,0.08737863600254059,1.4216363430023193,0.07317073170731707,0.9829335793357934,9.0,114.0,4262.0,74.0
22,0.9564924836158752,0.5405057072639465,0.6598230600357056,0.06976744532585144,0.10843373835086823,0.972577691078186,0.08490566164255142,1.4231659173965454,0.06976744186046512,0.9829099307159354,9.0,120.0,4256.0,74.0
23,0.9555954337120056,0.5400486588478088,0.6645283102989197,0.06766917556524277,0.10843373835086823,0.9716635942459106,0.0833333432674408,1.42363703250885,0.06766917293233082,0.9828941285251965,9.0,124.0,4252.0,74.0

Run Arguments:
cuda: True
gpu: 0
cuda_block: False
epochs: 100
seed: 3435
patience: 5
monitor_metric: bal_acc
log_every: 10
imbalance_fix: loss_weight
data_dir: C:\Users\jjnunez\PycharmProjects\scar_nlp_data\data
results_dir: C:\Users\jjnunez\PycharmProjects\scar_nlp\results
data_version: ppv4
target: need_emots_5
table: need_emots_dif_n
table_extra: 5
dataset: SCAR
debug: False
mode: rand
output_channel: 500
words_dim: 300
embed_dim: 300
dropout: 0.5
lr: 1e-05
weight_decay: 0
pretrained_dir: C:\Users\jjnunez\PycharmProjects\hedwig-data\embeddings\word2vec
pretrained_file: GoogleNews-vectors-negative300.txt
batch_size: 16
device: cuda:0
target_classes: 1
vocab_size: 21529
run_name: CNN_20220216-0133
results_dir_target: C:\Users\jjnunez\PycharmProjects\scar_nlp\results\need_emots_5
results_dir_model: C:\Users\jjnunez\PycharmProjects\scar_nlp\results\need_emots_5\CNN
