epoch,acc,bal_acc,auc,prec,rec,f1,loss
0,0.6363377067883628,0.6826521120345546,0.6826521120345546,0.6363377067883628,0.6363377067883628,0.6363377067883628,0.4517567306756973
1,0.7815173987450086,0.7820595663298515,0.7820595663298516,0.7815173987450086,0.7815173987450086,0.7815173987450086,0.36167183748700404
2,0.7826583000570451,0.7774967885740525,0.7774967885740525,0.7826583000570451,0.7826583000570451,0.7826583000570451,0.38369874276898125
3,0.726468910439247,0.7442310143777882,0.744231014377788,0.726468910439247,0.726468910439247,0.726468910439247,0.421363674510609
4,0.7775242441528808,0.7767606712497325,0.7767606712497325,0.7775242441528808,0.7775242441528808,0.7775242441528808,0.3730208997022022
5,0.7969195664575014,0.7893264002375052,0.7893264002375053,0.7969195664575014,0.7969195664575014,0.7969195664575013,0.3661712315949527
6,0.7718197375926983,0.7776161498122174,0.7776161498122174,0.7718197375926983,0.7718197375926983,0.7718197375926982,0.38728881180286406
7,0.8020536223616657,0.802248860404496,0.802248860404496,0.8020536223616657,0.8020536223616657,0.8020536223616656,0.35015326873822644
8,0.7920707358813462,0.7961869663614333,0.7961869663614333,0.7920707358813462,0.7920707358813462,0.7920707358813462,0.3558969343250448
9,0.7940673131774102,0.7977442416655931,0.7977442416655931,0.7940673131774102,0.7940673131774102,0.7940673131774103,0.362344519387592
10,0.7969195664575014,0.7973739851336085,0.7973739851336085,0.7969195664575014,0.7969195664575014,0.7969195664575013,0.35801331021568994
11,0.7963491158014832,0.7973560640411929,0.7973560640411929,0.7963491158014832,0.7963491158014832,0.7963491158014832,0.37251237346367405
12,0.7937820878494011,0.7941713506653967,0.7941713506653967,0.7937820878494011,0.7937820878494011,0.7937820878494011,0.3871841238303618

Run Arguments:
cuda: True
gpu: 0
cuda_block: False
epochs: 100
batch_size: 32
seed: 3435
patience: 5
log_every: 10
imbalance_fix: loss_weight
data_dir: C:\Users\jjnunez\PycharmProjects\scar_nlp_data\data
results_dir: C:\Users\jjnunez\PycharmProjects\scar_nlp\results
data_version: ppv4
target: surv_mo_36
dataset: SCAR
debug: False
bidirectional: False
num_layers: 2
hidden_dim: 128
mode: rand
words_dim: 300
embed_dim: 300
weight_decay: 0
dropout: 0.5
lr: 0.0001
pretrained_dir: C:\Users\jjnunez\PycharmProjects\hedwig-data\embeddings\word2vec
pretrained_file: GoogleNews-vectors-negative300.txt
results_path: results\reg_lstm
device: cuda:0
