epoch,acc,bal_acc,auc,prec,rec,f1,loss,epoch
0,0.3804347813129425,0.49873366951942444,0.4392244517803192,0.37910884618759155,0.9904580116271973,0.5483359098434448,0.0,0.0
1,0.489130437374115,0.5733974575996399,0.7000774145126343,0.4212358593940735,0.9236640930175781,0.5786013603210449,0.0,1.0
2,0.7365942001342773,0.7447452545166016,0.8247195482254028,0.6224256157875061,0.7786259651184082,0.6918185949325562,0.0,2.0
3,0.7568840384483337,0.7742384076118469,0.851641058921814,0.6349319815635681,0.8463740348815918,0.725562334060669,0.0,3.0
4,0.7894927263259888,0.7971926927566528,0.8690370917320251,0.6837136149406433,0.8291984796524048,0.7494609951972961,0.0,4.0
5,0.800000011920929,0.8058474063873291,0.8778336048126221,0.6993569135665894,0.830152690410614,0.7591623663902283,0.0,5.0
6,0.7858695387840271,0.8009336590766907,0.8835231065750122,0.6688839793205261,0.8635495901107788,0.7538526058197021,0.0,6.0
7,0.8268116116523743,0.8146915435791016,0.8911834955215454,0.7761628031730652,0.7643129825592041,0.7701923251152039,0.0,7.0
8,0.8253623247146606,0.8166690468788147,0.8939217329025269,0.7644859552383423,0.7805343270301819,0.7724267244338989,0.0,8.0
9,0.8307970762252808,0.808466911315918,0.8956941962242126,0.8161044716835022,0.7156488299369812,0.7625826001167297,0.0,9.0
10,0.8134058117866516,0.8214645385742188,0.8988555073738098,0.7116759419441223,0.8549618124961853,0.7767664194107056,0.0,10.0
11,0.8181159496307373,0.8156390190124512,0.8969739079475403,0.739054262638092,0.805343508720398,0.7707762122154236,0.0,11.0
12,0.8260869383811951,0.8154027462005615,0.8983009457588196,0.7709923386573792,0.7709923386573792,0.7709923386573792,0.0,12.0
13,0.8289855122566223,0.8155186176300049,0.8968813419342041,0.7834645509719849,0.7595419883728027,0.7713178396224976,0.0,13.0
14,0.8115941882133484,0.8087166547775269,0.8954790830612183,0.7311733961105347,0.7967557311058044,0.7625571489334106,0.0,14.0
15,0.8003623485565186,0.7543272972106934,0.8854900598526001,0.8638359904289246,0.5629770755767822,0.6816868185997009,0.0,15.0

Run Arguments:
cuda: True
gpu: 0
cuda_block: False
epochs: 50
batch_size: 8
seed: 3435
patience: 5
log_every: 10
imbalance_fix: loss_weight
data_dir: C:\Users\jjnunez\PycharmProjects\scar_nlp_data\data
results_dir: C:\Users\jjnunez\PycharmProjects\scar_nlp\results
data_version: ppv3
target: surv_mo_60
debug: False
dataset: SCAR
max_tokens: 512
lr: 0.0001
weight_decay: 0
pretrained_dir: C:\Users\jjnunez\PycharmProjects\hedwig-data\models
pretrained_file: bert-base-uncased
device: cuda:0
