epoch,acc,bal_acc,auc,prec,rec,f1,loss,epoch
0,0.6199275255203247,0.4998929798603058,0.47577524185180664,0.3333333432674408,0.0009541984763927758,0.001902949414215982,0.0,0.0
1,0.6242753863334656,0.63736891746521,0.6765130758285522,0.5038220882415771,0.6917939186096191,0.5830317735671997,0.0,1.0
2,0.7605072259902954,0.7301580309867859,0.8095158934593201,0.7201365232467651,0.6040076613426208,0.6569797992706299,0.0,2.0
3,0.7833333611488342,0.7720580101013184,0.838487982749939,0.7102803587913513,0.7251908183097839,0.7176581621170044,0.0,3.0
4,0.7916666865348816,0.7863621115684509,0.8566751480102539,0.709477424621582,0.7643129825592041,0.7358750700950623,0.0,4.0

Run Arguments:
cuda: True
gpu: 0
cuda_block: False
epochs: 5
batch_size: 8
seed: 3435
patience: 5
log_every: 10
imbalance_fix: loss_weight
data_dir: C:\Users\jjnunez\PycharmProjects\scar_nlp_data\data
results_dir: C:\Users\jjnunez\PycharmProjects\scar_nlp\results
data_version: ppv3
target: surv_mo_60
debug: False
dataset: SCAR
max_tokens: 512
lr: 0.0001
weight_decay: 0
pretrained_dir: C:\Users\jjnunez\PycharmProjects\hedwig-data\models
pretrained_file: bert-base-uncased
device: cuda:0
