epoch,acc,bal_acc,auc,prec,rec,f1,loss,epoch
0,0.6202898621559143,0.5,0.4613669514656067,0.0,0.0,0.0,0.0,0.0
1,0.677173912525177,0.6309726238250732,0.7069615721702576,0.6028833389282227,0.43893128633499146,0.5080066323280334,0.0,1.0
2,0.7692028880119324,0.7401280403137207,0.8207221627235413,0.7316797971725464,0.6192747950553894,0.670801043510437,0.0,2.0
3,0.7840579748153687,0.7789336442947388,0.8479073643684387,0.6989436745643616,0.7576335668563843,0.7271061539649963,0.0,3.0
4,0.8003623485565186,0.7972573637962341,0.8642162084579468,0.7166521549224854,0.7843511700630188,0.7489750385284424,0.0,4.0
5,0.8123188614845276,0.7889460325241089,0.8730136156082153,0.7880434989929199,0.6917939186096191,0.7367886304855347,0.0,5.0
6,0.8199275135993958,0.8121031522750854,0.8808656334877014,0.7543859481811523,0.7795801758766174,0.7667761445045471,0.0,6.0
7,0.8184782862663269,0.813895583152771,0.8841584920883179,0.7444146275520325,0.794847309589386,0.7688047885894775,0.0,7.0
8,0.8163043260574341,0.7954894304275513,0.8896356821060181,0.7862433791160583,0.7089694738388062,0.745609700679779,0.0,8.0
9,0.8242753744125366,0.80987149477005,0.8920964002609253,0.7789890766143799,0.75,0.7642197012901306,0.0,9.0
10,0.823913037776947,0.814205527305603,0.8960051536560059,0.7650943398475647,0.7738549709320068,0.769449770450592,0.0,10.0
11,0.8282608985900879,0.8103084564208984,0.8972007036209106,0.7964876294136047,0.7356870174407959,0.7648810148239136,0.0,11.0
12,0.823913037776947,0.8097645044326782,0.8954155445098877,0.7776679992675781,0.7509542107582092,0.7640777230262756,0.0,12.0
13,0.8184782862663269,0.8146357536315918,0.8941832184791565,0.7426796555519104,0.7986640930175781,0.769655168056488,0.0,13.0
14,0.8242753744125366,0.8120920658111572,0.8922051191329956,0.7725072503089905,0.7614504098892212,0.7669389247894287,0.0,14.0
15,0.8195652365684509,0.792751669883728,0.8910073637962341,0.8132118582725525,0.6812977194786072,0.7414330244064331,0.0,15.0
16,0.8047101497650146,0.8079787492752075,0.886623740196228,0.7098103761672974,0.8215649127960205,0.7616098523139954,0.0,16.0
17,0.8123188614845276,0.7907964587211609,0.8838034868240356,0.7819148898124695,0.7013359069824219,0.7394365668296814,0.0,17.0
18,0.8126811385154724,0.7920137047767639,0.8798378705978394,0.779768168926239,0.7061068415641785,0.7411116361618042,0.0,18.0

Run Arguments:
cuda: True
gpu: 0
cuda_block: False
epochs: 100
batch_size: 8
seed: 3435
patience: 5
log_every: 10
imbalance_fix: loss_weight
data_dir: C:\Users\jjnunez\PycharmProjects\scar_nlp_data\data
results_dir: C:\Users\jjnunez\PycharmProjects\scar_nlp\results
data_version: ppv4
target: surv_mo_60
dataset: SCAR
debug: False
max_tokens: 512
lr: 0.0001
weight_decay: 0
pretrained_dir: C:\Users\jjnunez\PycharmProjects\hedwig-data\models
pretrained_file: bert-base-uncased
device: cuda:0
