epoch,acc,bal_acc,auc,prec,rec,f1,loss,epoch
0,0.6202898621559143,0.5,0.4888341724872589,0.0,0.0,0.0,0.0,0.0
1,0.6945652365684509,0.6764487028121948,0.7326538562774658,0.5971564054489136,0.6011450290679932,0.5991441011428833,0.0,1.0
2,0.7615941762924194,0.7450975179672241,0.815272331237793,0.6896887421607971,0.6765267252922058,0.6830443739891052,0.0,2.0
3,0.7851449251174927,0.7766640186309814,0.8471877574920654,0.7070063948631287,0.7414122223854065,0.7238006591796875,0.0,3.0
4,0.8028985261917114,0.7961560487747192,0.8664813041687012,0.7278481125831604,0.7681297659873962,0.747446596622467,0.0,4.0
5,0.8028985261917114,0.8031876087188721,0.8722360730171204,0.7131979465484619,0.8043892979621887,0.7560538053512573,0.0,5.0
6,0.8166666626930237,0.8061438798904419,0.882361650466919,0.7566288113594055,0.7624045610427856,0.7595056891441345,0.0,6.0
7,0.8181159496307373,0.8093475699424744,0.8889540433883667,0.7541899681091309,0.7729007601737976,0.7634307146072388,0.0,7.0
8,0.8155797123908997,0.809893786907196,0.8904488682746887,0.7430117130279541,0.7862595319747925,0.7640240788459778,0.0,8.0
9,0.8166666626930237,0.8187267780303955,0.892964780330658,0.7273489832878113,0.8272900581359863,0.774107038974762,0.0,9.0
10,0.8253623247146606,0.8103775978088379,0.8963730335235596,0.7824351191520691,0.7480915784835815,0.7648780345916748,0.0,10.0
11,0.832608699798584,0.8149234056472778,0.8977742195129395,0.8026859760284424,0.7414122223854065,0.7708333730697632,0.0,11.0
12,0.8173912763595581,0.8204212188720703,0.8961774110794067,0.7262895107269287,0.8330152630805969,0.7760000824928284,0.0,12.0
13,0.8210144639015198,0.8068729043006897,0.8933404088020325,0.7731755375862122,0.7480915784835815,0.7604267001152039,0.0,13.0
14,0.8231884241104126,0.810105562210083,0.892742395401001,0.7734375,0.7557252049446106,0.7644788026809692,0.0,14.0
15,0.8170289993286133,0.8108769655227661,0.8926705121994019,0.7461468577384949,0.7853053212165833,0.7652254700660706,0.0,15.0
16,0.8090579509735107,0.7977901697158813,0.8849717378616333,0.7473884224891663,0.7509542107582092,0.7491670846939087,0.0,16.0
17,0.8047101497650146,0.8029825687408447,0.8845419883728027,0.7195858359336853,0.7958015203475952,0.75577712059021,0.0,17.0

Run Arguments:
cuda: True
gpu: 0
cuda_block: False
epochs: 100
batch_size: 8
seed: 3435
patience: 5
log_every: 10
imbalance_fix: loss_weight
data_dir: C:\Users\jjnunez\PycharmProjects\scar_nlp_data\data
results_dir: C:\Users\jjnunez\PycharmProjects\scar_nlp\results
data_version: ppv4
target: surv_mo_60
dataset: SCAR
debug: False
max_tokens: 512
lr: 0.0001
weight_decay: 0
pretrained_dir: C:\Users\jjnunez\PycharmProjects\hedwig-data\models
pretrained_file: bert-base-uncased
device: cuda:0
