epoch,acc,bal_acc,auc,prec,rec,f1,loss
0,0.8028985507246377,0.7669191874152814,0.7669191874152814,0.8028985507246377,0.8028985507246377,0.8028985507246377,0.0
1,0.8043478260869565,0.7686425411999714,0.7686425411999714,0.8043478260869565,0.8043478260869565,0.8043478260869565,0.0
2,0.8,0.762732307198402,0.7627323071984019,0.8,0.8,0.8000000000000002,0.0
3,0.7971014492753623,0.7598407291146465,0.7598407291146466,0.7971014492753623,0.7971014492753623,0.7971014492753623,0.0
4,0.7913043478260869,0.7529473139758864,0.7529473139758864,0.7913043478260869,0.7913043478260869,0.791304347826087,0.0
5,0.7967391304347826,0.7593636298780053,0.7593636298780054,0.7967391304347826,0.7967391304347826,0.7967391304347826,0.0
6,0.7942028985507247,0.7587995826496396,0.7587995826496398,0.7942028985507247,0.7942028985507247,0.7942028985507247,0.0
7,0.7992753623188406,0.762518281372619,0.7625182813726189,0.7992753623188406,0.7992753623188406,0.7992753623188406,0.0
8,0.8057971014492754,0.769625722337162,0.769625722337162,0.8057971014492754,0.8057971014492754,0.8057971014492754,0.0
9,0.8061594202898551,0.7699177784119284,0.7699177784119284,0.8061594202898551,0.8061594202898551,0.806159420289855,0.0

Run Arguments:
cuda: True
gpu: 0
cuda_block: False
epochs: 10
batch_size: 8
seed: 3435
patience: 5
log_every: 10
imbalance_fix: loss_weight
data_dir: C:\Users\jjnunez\PycharmProjects\scar_nlp_data\data
results_dir: C:\Users\jjnunez\PycharmProjects\scar_nlp\results
data_version: ppv4
target: surv_mo_60
dataset: SCAR
debug: False
max_features: 1000
use_idf: True
classifier: rf
rf_estimators: 50
elnet_l1_ratio: 0.67
elnet_alpha: 0.1
elnet_power_t: 0.01
gbdt_estimators: 100
gbdt_lr: 0.1
gbdt_max_depth: 3
l2logreg_c: 0.092
