epoch,acc,bal_acc,auc,prec,rec,f1,loss,ppv,npv,tp,fp,tn,fn
0,0.699999988079071,0.7146924138069153,0.7895618677139282,0.5782361030578613,0.7757633328437805,0.6625916957855225,0.7642894983291626,0.5782361308677099,0.8264401772525849,813.0,593.0,1119.0,235.0

Run Arguments:
cuda: True
gpu: 0
cuda_block: False
epochs: 1
batch_size: 8
seed: 3435
patience: 10
monitor_metric: bal_acc
log_every: 10
imbalance_fix: loss_weight
data_dir: C:\Users\jjnunez\PycharmProjects\scar_nlp_data\data
results_dir: C:\Users\jjnunez\PycharmProjects\scar_nlp\results
data_version: ppv4
target: surv_mo_60
dataset: SCAR
debug: False
mode: rand
output_channel: 500
words_dim: 300
embed_dim: 300
dropout: 0.5
lr: 1e-05
weight_decay: 0
pretrained_dir: C:\Users\jjnunez\PycharmProjects\hedwig-data\embeddings\word2vec
pretrained_file: GoogleNews-vectors-negative300.txt
device: cuda:0
target_classes: 1
vocab_size: 17822
run_name: CNN_20220124-1357
results_dir_target: C:\Users\jjnunez\PycharmProjects\scar_nlp\results\surv_mo_60
results_dir_model: C:\Users\jjnunez\PycharmProjects\scar_nlp\results\surv_mo_60\CNN
