epoch,acc,bal_acc,auc,prec,rec,f1,loss,ppv,npv,tp,fp,tn,fn
0,0.7474637627601624,0.7462902069091797,0.8103026151657104,0.6458852887153625,0.7414122223854065,0.6903598308563232,0.7787086367607117,0.6458852867830424,0.8259473346178549,777.0,426.0,1286.0,271.0
1,0.7634057998657227,0.7622864246368408,0.8308844566345215,0.6655490398406982,0.7576335668563843,0.7086122035980225,0.6907026767730713,0.6655490360435876,0.8379068283343969,794.0,399.0,1313.0,254.0
2,0.782608687877655,0.7792457342147827,0.8486255407333374,0.6937716007232666,0.7652671933174133,0.7277677059173584,0.6291579604148865,0.6937716262975778,0.8466334164588528,802.0,354.0,1358.0,246.0
3,0.7942029237747192,0.7913671731948853,0.8616529107093811,0.7079722881317139,0.7795801758766174,0.7420527935028076,0.5907505750656128,0.7079722703639515,0.8561643835616438,817.0,337.0,1375.0,231.0
4,0.8007246255874634,0.8003250360488892,0.8712528944015503,0.7117347121238708,0.7986640930175781,0.7526978254318237,0.5651361346244812,0.7117346938775511,0.8667929292929293,837.0,339.0,1373.0,211.0
5,0.8036231994628906,0.8039568066596985,0.8775148391723633,0.7140439748764038,0.805343508720398,0.7569506168365479,0.5484828352928162,0.7140439932318104,0.870722433460076,844.0,338.0,1374.0,204.0
6,0.8057971000671387,0.807559609413147,0.882112443447113,0.714046835899353,0.8148854970932007,0.761140763759613,0.5365825891494751,0.7140468227424749,0.8759590792838875,854.0,342.0,1370.0,194.0
7,0.8094202876091003,0.8101100325584412,0.8857754468917847,0.720812201499939,0.8129770755767822,0.7641255259513855,0.5276744365692139,0.7208121827411168,0.8757921419518377,852.0,330.0,1382.0,196.0
8,0.8126811385154724,0.8138487935066223,0.8887812495231628,0.7240506410598755,0.8187022805213928,0.7684728503227234,0.520251989364624,0.7240506329113924,0.8793650793650793,858.0,327.0,1385.0,190.0
9,0.8123188614845276,0.8126314878463745,0.8914276361465454,0.7253401279449463,0.8139312863349915,0.767086386680603,0.5139248967170715,0.7253401360544217,0.8768939393939394,853.0,323.0,1389.0,195.0
10,0.8159420490264893,0.8151820302009583,0.8935583829879761,0.7323579788208008,0.8120229244232178,0.7701357007026672,0.5087608695030212,0.7323580034423408,0.876720901126408,851.0,311.0,1401.0,197.0
11,0.8163043260574341,0.8160291910171509,0.8954907655715942,0.7317909002304077,0.8148854970932007,0.7711061239242554,0.5036824941635132,0.7317909168808912,0.8782172002510985,854.0,313.0,1399.0,194.0
12,0.8159420490264893,0.8146268725395203,0.8971432447433472,0.733564019203186,0.8091602921485901,0.7695099711418152,0.49947214126586914,0.7335640138408305,0.8753117206982544,848.0,308.0,1404.0,200.0
13,0.8173912763595581,0.8163502216339111,0.8986531496047974,0.7348877191543579,0.8120229244232178,0.7715321779251099,0.4954920709133148,0.7348877374784111,0.8770287141073658,851.0,307.0,1405.0,197.0
14,0.8199275135993958,0.818394660949707,0.9000253677368164,0.739357054233551,0.8120229244232178,0.7739881873130798,0.49201396107673645,0.739357080799305,0.877563704164077,851.0,300.0,1412.0,197.0
15,0.821739137172699,0.8194848299026489,0.9012906551361084,0.7434325814247131,0.8101145029067993,0.7753424644470215,0.48896345496177673,0.7434325744308231,0.877008652657602,849.0,293.0,1419.0,199.0
16,0.823913037776947,0.822162389755249,0.9024922847747803,0.7452006936073303,0.8148854970932007,0.7784867882728577,0.4854898750782013,0.7452006980802792,0.8798017348203222,854.0,292.0,1420.0,194.0
17,0.8260869383811951,0.824469804763794,0.9033606052398682,0.7478184700012207,0.8177480697631836,0.7812214493751526,0.4826424717903137,0.7478184991273996,0.8816604708798017,857.0,289.0,1423.0,191.0
18,0.8275362253189087,0.826008141040802,0.904400646686554,0.7495636940002441,0.819656491279602,0.783044695854187,0.4798411726951599,0.7495636998254799,0.8828996282527881,859.0,287.0,1425.0,189.0
19,0.8286231756210327,0.8259590864181519,0.9052239060401917,0.7537510991096497,0.8148854970932007,0.7831270098686218,0.4777774214744568,0.7537511032656664,0.8807621389059619,854.0,279.0,1433.0,194.0
