epoch,acc,bal_acc,auc,prec,rec,f1,loss
0,0.5824780058651027,0.6054088244280913,0.6054088244280913,0.5824780058651027,0.5824780058651027,0.5824780058651027,0.8090953535811846
1,0.8005865102639296,0.7848949275672712,0.7848949275672712,0.8005865102639296,0.8005865102639296,0.8005865102639296,0.5756663101357083

Run Arguments:
cuda: True
gpu: 0
cuda_block: False
epochs: 2
batch_size: 32
seed: 3435
patience: 5
log_every: 10
imbalance_fix: loss_weight
data_dir: C:\Users\jjnunez\PycharmProjects\scar_nlp_data\data
results_dir: C:\Users\jjnunez\PycharmProjects\scar_nlp\results
data_version: ppv4
target: surv_mo_60
dataset: SCAR
debug: False
bidirectional: False
num_layers: 2
hidden_dim: 128
mode: rand
words_dim: 300
embed_dim: 300
weight_decay: 0
dropout: 0.5
lr: 0.0001
pretrained_dir: C:\Users\jjnunez\PycharmProjects\hedwig-data\embeddings\word2vec
pretrained_file: GoogleNews-vectors-negative300.txt
results_path: results\reg_lstm
device: cuda:0
