epoch,acc,bal_acc,auc,prec,rec,f1,loss
0,0.592741935483871,0.635219182893711,0.635219182893711,0.592741935483871,0.592741935483871,0.592741935483871,0.7702318963616394
1,0.6176686217008798,0.652442552122152,0.652442552122152,0.6176686217008798,0.6176686217008798,0.6176686217008798,0.7625662240871164
2,0.7650293255131965,0.7666786602586617,0.7666786602586618,0.7650293255131965,0.7650293255131965,0.7650293255131965,0.6034009439307589
3,0.7741935483870968,0.7774560449131465,0.7774560449131465,0.7741935483870968,0.7741935483870968,0.7741935483870968,0.5856391077124795
4,0.7782258064516129,0.7839145942025261,0.7839145942025261,0.7782258064516129,0.7782258064516129,0.778225806451613,0.5990188939626827
5,0.7573313782991202,0.7733388161182454,0.7733388161182454,0.7573313782991202,0.7573313782991202,0.7573313782991202,0.6196168858644574
6,0.7243401759530792,0.7150311119487589,0.7150311119487589,0.7243401759530792,0.7243401759530792,0.7243401759530792,0.6876551924749862
7,0.7793255131964809,0.7785611687469838,0.7785611687469839,0.7793255131964809,0.7793255131964809,0.7793255131964809,0.6397132118080937
8,0.7873900293255132,0.774086416685942,0.774086416685942,0.7873900293255132,0.7873900293255132,0.7873900293255132,0.6341672681791838
9,0.7925219941348973,0.7812408798727537,0.7812408798727537,0.7925219941348973,0.7925219941348973,0.7925219941348973,0.6284555120523586
10,0.7991202346041055,0.7952465397059285,0.7952465397059285,0.7991202346041055,0.7991202346041055,0.7991202346041055,0.6050387918949127
11,0.7617302052785924,0.7702621742097794,0.7702621742097795,0.7617302052785924,0.7617302052785924,0.7617302052785924,0.6528679593357929
12,0.7969208211143695,0.7768409449808245,0.7768409449808246,0.7969208211143695,0.7969208211143695,0.7969208211143695,0.6439184466766756
13,0.8068181818181818,0.7925562627967343,0.7925562627967343,0.8068181818181818,0.8068181818181818,0.8068181818181818,0.6128491890984912
14,0.7980205278592375,0.7943615839537161,0.7943615839537163,0.7980205278592375,0.7980205278592375,0.7980205278592375,0.5847849090432011
15,0.782258064516129,0.7835676367198097,0.7835676367198097,0.782258064516129,0.782258064516129,0.7822580645161291,0.6002300690079845
16,0.7719941348973607,0.7671792499436016,0.7671792499436015,0.7719941348973607,0.7719941348973607,0.7719941348973607,0.6162364888329839
17,0.7983870967741935,0.7967360296070385,0.7967360296070385,0.7983870967741935,0.7983870967741935,0.7983870967741935,0.5762483650861785
18,0.8038856304985337,0.7815004554709342,0.7815004554709342,0.8038856304985337,0.8038856304985337,0.8038856304985337,0.5805520824221677

Run Arguments:
cuda: True
gpu: 0
cuda_block: False
epochs: 100
batch_size: 32
seed: 3435
patience: 5
log_every: 10
imbalance_fix: loss_weight
data_dir: C:\Users\jjnunez\PycharmProjects\scar_nlp_data\data
results_dir: C:\Users\jjnunez\PycharmProjects\scar_nlp\results
data_version: ppv4
target: surv_mo_60
dataset: SCAR
debug: False
bidirectional: False
num_layers: 2
hidden_dim: 128
mode: rand
words_dim: 300
embed_dim: 300
weight_decay: 0
dropout: 0.5
lr: 0.0001
pretrained_dir: C:\Users\jjnunez\PycharmProjects\hedwig-data\embeddings\word2vec
pretrained_file: GoogleNews-vectors-negative300.txt
results_path: results\reg_lstm
device: cuda:0
