Datetime,Run Name,Finished,Table,Platform,Model,Target,Data,Mode,Pretrained Model,Embedding Dimension,Word Dimension,BoW Classifier,BoW LR C,CNN Output Channels,LSTM Layers,LSTM Hidden Dimension,LSTM Bidirectional,Max Tokens,CUDA Blocking,Epochs,Learning Rate,Patience,Class Imbalance Fix,Accuracy,Balanced Accuracy,AUC,F1,Recall,Precision,Specificity,PPV,NPV,TP,TN,FP,FN,LaTeX String
20211207-0655,,,,SCAR_NLP,BERT,surv_mo_60,ppv4,,bert-base-uncased,,,,,,,,,,0,50,0.0001,5,loss_weight,0.813405812,0.821464539,,,,,,,,,,,,
20211207-1149,,,,SCAR_NLP,BERT,surv_mo_60,ppv3,,bert-base-uncased,,,,,,,,,,False,5,0.0001,5,loss_weight,0.7916666865348816,0.7863621115684509,,,,,,,,,,,,
20211208-1014,,,,SCAR_NLP,BERT,surv_mo_60,ppv3,,bert-base-uncased,,,,,,,,,,False,1,0.0001,5,loss_weight,0.3952898681163788,0.5075622797012329,0.5542182326316833,0.5502560138702393,,,,,,,,,,
20211208-1124,,,,SCAR_NLP,BoW,surv_mo_60,ppv4,,,,,rf,,,,,,,False,1,,5,loss_weight,0.8014492753623188,0.765750963116216,0.765750963116216,0.8014492753623188,,,,,,,,,,
20211208-1155,,,,SCAR_NLP,LSTM,surv_mo_60,ppv4,rand,GoogleNews-vectors-negative300.txt,300.0,300.0,,,,2.0,128.0,False,,False,2,0.0001,5,loss_weight,0.8005865102639296,0.7848949275672712,0.7848949275672712,0.8005865102639296,,,,,,,,,,
20211208-1159,,,,SCAR_NLP,CNN,surv_mo_60,ppv4,rand,GoogleNews-vectors-negative300.txt,300.0,300.0,,,500.0,,,,,False,1,1e-05,5,loss_weight,0.7550872093023255,0.725756875012263,0.725756875012263,0.7550872093023255,,,,,,,,,,
20211208-1401,,,,SCAR_NLP,BoW,surv_mo_60,ppv4,,,,,rf,,,,,,,False,10,,5,loss_weight,0.8061594202898551,0.7699177784119284,0.7699177784119284,0.806159420289855,,,,,,,,,,
20211209-0233,,,,SCAR_NLP,CNN,surv_mo_60,ppv4,rand,GoogleNews-vectors-negative300.txt,300.0,300.0,,,500.0,,,,,False,100,1e-05,5,loss_weight,0.8470203488372093,0.8411946934417256,0.8411946934417256,0.8470203488372093,,,,,,,,,,
20211210-2052,,,,SCAR_NLP,LSTM,surv_mo_60,ppv4,rand,GoogleNews-vectors-negative300.txt,300.0,300.0,,,,2.0,128.0,False,,False,100,0.0001,5,loss_weight,0.7983870967741935,0.7967360296070385,0.7967360296070385,0.7983870967741935,,,,,,,,,,
20220105-1931,,,,SCAR_NLP,BERT,surv_mo_60,ppv4,,bert-base-uncased,,,,,,,,,,False,100,0.0001,5,loss_weight,0.8184782862663269,0.8146357536315918,0.8941832184791565,0.769655168056488,,,,,,,,,,
20220106-0248,,,,SCAR_NLP,BERT,surv_mo_60,ppv4,,bert-base-uncased,,,,,,,,,,False,100,0.0001,5,loss_weight,0.8173912763595581,0.8204212188720703,0.8961774110794067,0.7760000824928284,,,,,,,,,,
20220106-1514,,,,SCAR_NLP,BERT,surv_mo_60,ppv4,,bert-base-uncased,,,,,,,,,,False,2,0.0001,5,loss_weight,0.6528985500335693,0.5727308988571167,0.6604204177856445,0.3438356220722198,,,,,,,,,,
20220106-1558,,,,SCAR_NLP,BERT,surv_mo_60,ppv4,,bert-base-uncased,,,,,,,,,,False,2,0.0001,5,loss_weight,0.655434787273407,0.645831823348999,0.7003384828567505,0.5718144774436951,,,,,,,,,,
20220106-1709,,,,SCAR_NLP,BERT,surv_mo_60,ppv4,,bert-base-uncased,,,,,,,,,,False,2,0.0001,5,loss_weight,0.6072463989257812,0.6166106462478638,0.6671224236488342,0.558991014957428,,,,,,,,,,
20220106-1959,,,,SCAR_NLP,BERT,surv_mo_60,ppv4,,bert-base-uncased,,,,,,,,,,False,2,0.0001,5,loss_weight,0.6253623366355896,0.6460168957710266,0.691577672958374,0.5973520278930664,,,,,,,,,,
20220116-1317,,,,SCAR_NLP,Longformer,surv_mo_60,ppv4,,allenai/longformer-base-4096,,,,,,,,,,False,100,0.0001,5,loss_weight,0.8268116116523743,0.821168065071106,0.901559829711914,0.7776744365692139,,,,,,,,,,
,CNN_20220124-1357,20220124-1359,,SCAR_NLP,CNN,surv_mo_60,ppv4,rand,GoogleNews-vectors-negative300.txt,300.0,300.0,,,500.0,,,,,False,1,1e-05,10,loss_weight,0.699999988079071,0.7146924138069153,0.7895618677139282,0.6625916957855225,,,,0.5782361308677099,0.8264401772525849,813.0,1119.0,593.0,235.0,
,CNN_20220124-1547,20220124-1719,,SCAR_NLP,CNN,surv_mo_60,ppv4,rand,GoogleNews-vectors-negative300.txt,300.0,300.0,,,500.0,,,,,False,100,1e-05,10,loss_weight,0.856521725654602,0.8497427701950073,0.9221403002738952,0.8130311369895935,,,,0.8046728971962617,0.8893491124260355,861.0,1503.0,209.0,187.0,
,BoW_20220201-1429,20220201-1442,bow_c_choose,SCAR_NLP,BoW,surv_mo_60,ppv4,,,,,l2logreg,0.1,,,,,10000.0,False,1,,10,loss_weight,0.8181159496307373,0.8104578256607056,0.8104578256607056,0.7647610306739807,0.7786259651184082,0.7513812184333801,0.8422897458076477,0.7513812154696132,0.8614097968936678,816.0,1442.0,270.0,232.0,BoW & 0.81 & 0.81 & 0.76 & 0.78 & 0.84 \\
