epoch,acc,bal_acc,auc,prec,rec,f1,loss
0,0.797463768115942,0.7610580009987872,0.7610580009987872,0.797463768115942,0.797463768115942,0.797463768115942,0.0
1,0.7967391304347826,0.761214061496754,0.7612140614967539,0.7967391304347826,0.7967391304347826,0.7967391304347826,0.0
2,0.8003623188405797,0.7656149675394164,0.7656149675394165,0.8003623188405797,0.8003623188405797,0.8003623188405797,0.0
3,0.7992753623188406,0.7641836698294928,0.7641836698294928,0.7992753623188406,0.7992753623188406,0.7992753623188406,0.0
4,0.8010869565217391,0.7658289933651994,0.7658289933651994,0.8010869565217391,0.8010869565217391,0.8010869565217391,0.0
5,0.8047101449275362,0.7691196404366127,0.7691196404366129,0.8047101449275362,0.8047101449275362,0.8047101449275361,0.0
6,0.803623188405797,0.7671332132410644,0.7671332132410644,0.803623188405797,0.803623188405797,0.803623188405797,0.0
7,0.8050724637681159,0.7710770849682529,0.7710770849682529,0.8050724637681159,0.8050724637681159,0.8050724637681159,0.0
8,0.7971014492753623,0.760395858600271,0.760395858600271,0.7971014492753623,0.7971014492753623,0.7971014492753623,0.0
9,0.7981884057971015,0.7618271563101948,0.7618271563101948,0.7981884057971015,0.7981884057971015,0.7981884057971014,0.0

Run Arguments:
cuda: True
gpu: 0
cuda_block: False
epochs: 10
batch_size: 8
seed: 3435
patience: 5
log_every: 10
imbalance_fix: loss_weight
data_dir: C:\Users\jjnunez\PycharmProjects\scar_nlp_data\data
results_dir: C:\Users\jjnunez\PycharmProjects\scar_nlp\results
data_version: ppv4
target: surv_mo_60_I
dataset: SCAR
debug: False
max_features: 1000
use_idf: True
classifier: rf
rf_estimators: 50
elnet_l1_ratio: 0.67
elnet_alpha: 0.1
elnet_power_t: 0.01
gbdt_estimators: 100
gbdt_lr: 0.1
gbdt_max_depth: 3
l2logreg_c: 0.092
