epoch,acc,bal_acc,auc,prec,rec,f1,loss
0,0.7949275362318841,0.7575332631804237,0.7575332631804237,0.7949275362318841,0.7949275362318841,0.7949275362318841,0.0
1,0.7949275362318841,0.7580883926660484,0.7580883926660484,0.7949275362318841,0.7949275362318841,0.7949275362318841,0.0
2,0.7952898550724637,0.7565300171220661,0.756530017122066,0.7952898550724637,0.7952898550724637,0.7952898550724637,0.0
3,0.8083333333333333,0.772410287508026,0.7724102875080261,0.8083333333333333,0.8083333333333333,0.8083333333333333,0.0
4,0.7971014492753623,0.7607659449240208,0.7607659449240208,0.7971014492753623,0.7971014492753623,0.7971014492753623,0.0
5,0.8054347826086956,0.77025888207177,0.77025888207177,0.8054347826086956,0.8054347826086956,0.8054347826086957,0.0
6,0.7967391304347826,0.7588085003923807,0.7588085003923807,0.7967391304347826,0.7967391304347826,0.7967391304347826,0.0
7,0.802536231884058,0.7664420881786402,0.7664420881786402,0.802536231884058,0.802536231884058,0.802536231884058,0.0
8,0.803623188405797,0.7697238175073124,0.7697238175073126,0.803623188405797,0.803623188405797,0.803623188405797,0.0
9,0.8014492753623188,0.762975315688093,0.762975315688093,0.8014492753623188,0.8014492753623188,0.8014492753623188,0.0

Run Arguments:
cuda: True
gpu: 0
cuda_block: False
epochs: 10
batch_size: 8
seed: 3435
patience: 5
log_every: 10
imbalance_fix: loss_weight
data_dir: C:\Users\jjnunez\PycharmProjects\scar_nlp_data\data
results_dir: C:\Users\jjnunez\PycharmProjects\scar_nlp\results
data_version: ppv4
target: surv_mo_60_IV
dataset: SCAR
debug: False
max_features: 1000
use_idf: True
classifier: rf
rf_estimators: 50
elnet_l1_ratio: 0.67
elnet_alpha: 0.1
elnet_power_t: 0.01
gbdt_estimators: 100
gbdt_lr: 0.1
gbdt_max_depth: 3
l2logreg_c: 0.092
