epoch,acc,bal_acc,auc,prec,rec,f1,loss,epoch
0,0.8604651093482971,0.5,0.5116211175918579,0.0,0.0,0.0,0.0,0.0
1,0.6565295457839966,0.5265072584152222,0.5513087511062622,0.1607142835855484,0.3461538851261139,0.2195121943950653,0.0,1.0
2,0.5456171631813049,0.64466392993927,0.6969987750053406,0.20469798147678375,0.7820512652397156,0.32446810603141785,0.0,2.0
3,0.7298747897148132,0.7409909963607788,0.7997760772705078,0.30890053510665894,0.7564102411270142,0.43866175413131714,0.0,3.0
4,0.7155634760856628,0.7595287561416626,0.8267231583595276,0.30622008442878723,0.8205128312110901,0.44599300622940063,0.0,4.0
5,0.8568872809410095,0.6644144058227539,0.8334399461746216,0.484375,0.39743590354919434,0.43661969900131226,0.0,5.0
6,0.8372092843055725,0.6905751824378967,0.8294951319694519,0.42696627974510193,0.4871794879436493,0.455089807510376,0.0,6.0
7,0.8354203104972839,0.6680526733398438,0.8196598887443542,0.4146341383457184,0.43589743971824646,0.42499998211860657,0.0,7.0
8,0.8211091160774231,0.6865904927253723,0.8216322660446167,0.39000001549720764,0.5,0.43820223212242126,0.0,8.0
9,0.8067978620529175,0.7266112565994263,0.8241111040115356,0.380952388048172,0.6153846383094788,0.47058823704719543,0.0,9.0

Run Arguments:
cuda: True
gpu: 0
cuda_block: False
epochs: 100
batch_size: 8
seed: 3435
patience: 5
log_every: 10
imbalance_fix: loss_weight
data_dir: C:\Users\jjnunez\PycharmProjects\scar_nlp_data\data
results_dir: C:\Users\jjnunez\PycharmProjects\scar_nlp\results
data_version: ppv4
target: surv_mo_60_met
dataset: SCAR
debug: False
max_tokens: 512
lr: 0.0001
weight_decay: 0
pretrained_dir: C:\Users\jjnunez\PycharmProjects\hedwig-data\models
pretrained_file: bert-base-uncased
device: cuda:0
