epoch,acc,bal_acc,auc,prec,rec,f1,loss
0,0.3176043557168784,0.5816209107348348,0.5816209107348348,0.3176043557168784,0.3176043557168784,0.3176043557168784,1.2754739289698394
1,0.4500907441016334,0.6586251301441175,0.6586251301441175,0.4500907441016334,0.4500907441016334,0.4500907441016334,1.2684065544086953
2,0.6061705989110708,0.7330264672036824,0.7330264672036824,0.6061705989110708,0.6061705989110708,0.6061705989110708,1.2606232598207998
3,0.6388384754990926,0.7411365006301716,0.7411365006301716,0.6388384754990926,0.6388384754990926,0.6388384754990926,1.2512470380119656
4,0.7368421052631579,0.7219573675269878,0.7219573675269879,0.7368421052631579,0.7368421052631579,0.7368421052631579,1.2411520006000132
5,0.7313974591651543,0.740547427256288,0.7405474272562881,0.7313974591651543,0.7313974591651543,0.7313974591651543,1.2279652080674102
6,0.7441016333938294,0.7424927393281824,0.7424927393281824,0.7441016333938294,0.7441016333938294,0.7441016333938295,1.213702576747839
7,0.7658802177858439,0.7442736588306209,0.7442736588306209,0.7658802177858439,0.7658802177858439,0.7658802177858439,1.198569175125896
8,0.7695099818511797,0.7409447092991397,0.7409447092991397,0.7695099818511797,0.7695099818511797,0.7695099818511798,1.181860677573992
9,0.7840290381125227,0.7385062195188777,0.7385062195188777,0.7840290381125227,0.7840290381125227,0.7840290381125228,1.1643799301506816
10,0.7894736842105263,0.7471094306537345,0.7471094306537344,0.7894736842105263,0.7894736842105263,0.7894736842105263,1.1457486645035122
11,0.7967332123411979,0.7567674941092662,0.7567674941092662,0.7967332123411979,0.7967332123411979,0.7967332123411979,1.1272566750429678
12,0.7967332123411979,0.7513288399364348,0.7513288399364348,0.7967332123411979,0.7967332123411979,0.7967332123411979,1.1087021490801936
13,0.8039927404718693,0.7609869033919667,0.7609869033919667,0.8039927404718693,0.8039927404718693,0.8039927404718694,1.08968145346296
14,0.8003629764065335,0.764315852923448,0.764315852923448,0.8003629764065335,0.8003629764065335,0.8003629764065335,1.0715083937714065
15,0.8003629764065335,0.7588771987506164,0.7588771987506165,0.8003629764065335,0.8003629764065335,0.8003629764065335,1.0538026586822842
16,0.8076225045372051,0.7630966080333169,0.7630966080333169,0.8076225045372051,0.8076225045372051,0.8076225045372051,1.0380112528800964
17,0.8003629764065335,0.780631815441942,0.780631815441942,0.8003629764065335,0.8003629764065335,0.8003629764065335,1.0204534414021864
18,0.8003629764065335,0.7860704696147734,0.7860704696147734,0.8003629764065335,0.8003629764065335,0.8003629764065335,1.0059144712876582
19,0.8039927404718693,0.7881801742561236,0.7881801742561237,0.8039927404718693,0.8039927404718693,0.8039927404718694,0.9934219774128734
20,0.8058076225045372,0.7837963724039674,0.7837963724039674,0.8058076225045372,0.8058076225045372,0.8058076225045372,0.9817228831242824
21,0.8039927404718693,0.7827415200832922,0.7827415200832922,0.8039927404718693,0.8039927404718693,0.8039927404718694,0.9706308016742485

Run Arguments:
cuda: True
gpu: 0
cuda_block: False
epochs: 100
batch_size: 8
seed: 3435
patience: 5
log_every: 10
imbalance_fix: loss_weight
data_dir: C:\Users\jjnunez\PycharmProjects\scar_nlp_data\data
results_dir: C:\Users\jjnunez\PycharmProjects\scar_nlp\results
data_version: ppv4
target: surv_mo_60_met
dataset: SCAR
debug: False
mode: rand
output_channel: 500
words_dim: 300
embed_dim: 300
dropout: 0.5
lr: 1e-05
weight_decay: 0
pretrained_dir: C:\Users\jjnunez\PycharmProjects\hedwig-data\embeddings\word2vec
pretrained_file: GoogleNews-vectors-negative300.txt
device: cuda:0
