epoch,acc,bal_acc,auc,prec,rec,f1,loss
0,0.8595825426944972,0.5,0.5,0.8595825426944972,0.8595825426944972,0.8595825426944972,1.2930312752723694
1,0.8538899430740038,0.5136477537139789,0.513647753713979,0.8538899430740038,0.8538899430740038,0.8538899430740038,1.2920828391523922
2,0.8330170777988615,0.6258725613030249,0.6258725613030248,0.8330170777988615,0.8330170777988615,0.8330170777988615,1.2913537551374996
3,0.24667931688804554,0.5391981385358868,0.5391981385358868,0.24667931688804554,0.24667931688804554,0.24667931688804554,1.289235094014336
4,0.4459203036053131,0.6607451822683611,0.660745182268361,0.4459203036053131,0.4459203036053131,0.4459203036053131,1.2848203532836016
5,0.6944971537001897,0.720541733786767,0.7205417337867669,0.6944971537001897,0.6944971537001897,0.6944971537001897,1.254880898139056

Run Arguments:
cuda: True
gpu: 0
cuda_block: False
epochs: 100
batch_size: 32
seed: 3435
patience: 5
log_every: 10
imbalance_fix: loss_weight
data_dir: C:\Users\jjnunez\PycharmProjects\scar_nlp_data\data
results_dir: C:\Users\jjnunez\PycharmProjects\scar_nlp\results
data_version: ppv4
target: surv_mo_60_met
dataset: SCAR
debug: False
bidirectional: False
num_layers: 2
hidden_dim: 128
mode: rand
words_dim: 300
embed_dim: 300
weight_decay: 0
dropout: 0.5
lr: 0.0001
pretrained_dir: C:\Users\jjnunez\PycharmProjects\hedwig-data\embeddings\word2vec
pretrained_file: GoogleNews-vectors-negative300.txt
results_path: results\reg_lstm
device: cuda:0
