epoch,acc,bal_acc,auc,prec,rec,f1,loss,epoch
0,0.4860014319419861,0.498130202293396,0.47301191091537476,0.4583333432674408,0.015406162478029728,0.02981029823422432,0.0,0.0
1,0.6547020673751831,0.6561985611915588,0.6856887340545654,0.6882067918777466,0.5966386795043945,0.6391597986221313,0.0,1.0
2,0.7422828674316406,0.7443761229515076,0.8034244775772095,0.8013582229614258,0.6610644459724426,0.7244820594787598,0.0,2.0
3,0.768126368522644,0.7701998353004456,0.8405279517173767,0.8307952880859375,0.6876750588417053,0.7524904608726501,0.0,3.0
4,0.7767408490180969,0.7744520902633667,0.8540941476821899,0.7418967485427856,0.8655462265014648,0.7989657521247864,0.0,4.0
5,0.780330240726471,0.7785670757293701,0.8614992499351501,0.753731369972229,0.848739504814148,0.7984189987182617,0.0,5.0
6,0.8018664717674255,0.802030086517334,0.8715424537658691,0.813753604888916,0.7955182194709778,0.8045325875282288,0.0,6.0
7,0.80402010679245,0.8035172820091248,0.8747870326042175,0.800000011920929,0.8235294222831726,0.8115941882133484,0.0,7.0
8,0.8047379851341248,0.8053004741668701,0.8778439164161682,0.8269230723381042,0.7829131484031677,0.8043165802955627,0.0,8.0
9,0.8147882223129272,0.8148517608642578,0.8773901462554932,0.8238636255264282,0.8123249411582947,0.8180536031723022,0.0,9.0
10,0.7997128367424011,0.799279510974884,0.8736855387687683,0.797537624835968,0.8165265917778015,0.8069204092025757,0.0,10.0
11,0.8047379851341248,0.803928792476654,0.8745126724243164,0.7938829660415649,0.8361344337463379,0.8144611120223999,0.0,11.0
12,0.8011485934257507,0.8013297915458679,0.8773633241653442,0.8134863972663879,0.7941176295280457,0.8036853671073914,0.0,12.0
13,0.7946877479553223,0.7928253412246704,0.8691920042037964,0.7641975283622742,0.8669467568397522,0.8123359084129333,0.0,13.0
14,0.768126368522644,0.7649296522140503,0.8654987812042236,0.7214043140411377,0.8921568393707275,0.7977457642555237,0.0,14.0

Run Arguments:
cuda: True
gpu: 0
cuda_block: False
epochs: 100
batch_size: 8
seed: 3435
patience: 5
log_every: 10
imbalance_fix: loss_weight
data_dir: C:\Users\jjnunez\PycharmProjects\scar_nlp_data\data
results_dir: C:\Users\jjnunez\PycharmProjects\scar_nlp\results
data_version: ppv4
target: surv_mo_60_nonmet
dataset: SCAR
debug: False
max_tokens: 512
lr: 0.0001
weight_decay: 0
pretrained_dir: C:\Users\jjnunez\PycharmProjects\hedwig-data\models
pretrained_file: bert-base-uncased
device: cuda:0
