epoch,acc,bal_acc,auc,prec,rec,f1,loss
0,0.5121234386480529,0.5,0.5,0.5121234386480529,0.5121234386480529,0.5121234386480529,0.6535400817560595
1,0.7105069801616458,0.7124044960329121,0.7124044960329123,0.7105069801616458,0.7105069801616458,0.7105069801616458,0.5686731352362522
2,0.7046289493019838,0.7039204162417244,0.7039204162417244,0.7046289493019838,0.7046289493019838,0.7046289493019838,0.5587160566518473
3,0.6171932402645114,0.6109250488323451,0.6109250488323452,0.6171932402645114,0.6171932402645114,0.6171932402645114,0.6330069497574208
4,0.7759000734753857,0.7767843252493475,0.7767843252493475,0.7759000734753857,0.7759000734753857,0.7759000734753857,0.5063861379789751
5,0.7501836884643645,0.7528175831014157,0.7528175831014158,0.7501836884643645,0.7501836884643645,0.7501836884643645,0.49254084811654203
6,0.5334313005143277,0.544405023249382,0.544405023249382,0.5334313005143277,0.5334313005143277,0.5334313005143277,0.6954191250856533
7,0.772226304188097,0.7737323036766867,0.7737323036766867,0.772226304188097,0.772226304188097,0.772226304188097,0.4497835428215737
8,0.7825128581925055,0.7840962126843096,0.7840962126843097,0.7825128581925055,0.7825128581925055,0.7825128581925055,0.43158112570296886
9,0.7964731814842028,0.7968704084631208,0.7968704084631208,0.7964731814842028,0.7964731814842028,0.7964731814842028,0.421644069081129
10,0.7861866274797943,0.7868986707230645,0.7868986707230644,0.7861866274797943,0.7861866274797943,0.7861866274797944,0.44714115733324095
11,0.775165319617928,0.7771365231370244,0.7771365231370244,0.775165319617928,0.775165319617928,0.775165319617928,0.4357861578464508
12,0.8023512123438648,0.8031797203159842,0.8031797203159842,0.8023512123438648,0.8023512123438648,0.8023512123438648,0.43036862341470494
13,0.8030859662013226,0.8030414340287981,0.8030414340287981,0.8030859662013226,0.8030859662013226,0.8030859662013226,0.44421651335649714
14,0.8030859662013226,0.8032196936958739,0.803219693695874,0.8030859662013226,0.8030859662013226,0.8030859662013226,0.45289714946303256
15,0.7979426891991183,0.7978773054916941,0.7978773054916941,0.7979426891991183,0.7979426891991183,0.7979426891991183,0.4592387360888858
16,0.8016164584864071,0.8022127966673005,0.8022127966673005,0.8016164584864071,0.8016164584864071,0.8016164584864072,0.4662130641382794
17,0.783982365907421,0.7858161483811862,0.7858161483811862,0.783982365907421,0.783982365907421,0.783982365907421,0.480519704347433
18,0.7847171197648788,0.7867830720298699,0.7867830720298699,0.7847171197648788,0.7847171197648788,0.7847171197648788,0.5068753933490708

Run Arguments:
cuda: True
gpu: 0
cuda_block: False
epochs: 100
batch_size: 32
seed: 3435
patience: 5
log_every: 10
imbalance_fix: loss_weight
data_dir: C:\Users\jjnunez\PycharmProjects\scar_nlp_data\data
results_dir: C:\Users\jjnunez\PycharmProjects\scar_nlp\results
data_version: ppv4
target: surv_mo_60_nonmet
dataset: SCAR
debug: False
bidirectional: False
num_layers: 2
hidden_dim: 128
mode: rand
words_dim: 300
embed_dim: 300
weight_decay: 0
dropout: 0.5
lr: 0.0001
pretrained_dir: C:\Users\jjnunez\PycharmProjects\hedwig-data\embeddings\word2vec
pretrained_file: GoogleNews-vectors-negative300.txt
results_path: results\reg_lstm
device: cuda:0
