Datetime,Run Name,Finished,Table,Platform,Model,Target,Data,Mode,Pretrained Model,Embedding Dimension,Word Dimension,Dropout,BoW Classifier,BoW LR C,CNN Output Channels,CNN Weight Decay,LSTM Layers,LSTM Hidden Dimension,LSTM Bidirectional,LSTM Wt Dropout,LSTM Embed Dropout,Max Tokens,CUDA Blocking,Epochs,Learning Rate,Patience,Class Imbalance Fix,Accuracy,Balanced Accuracy,AUC,F1,Recall,Precision,Specificity,PPV,NPV,TP,TN,FP,FN,LaTeX String,Table Extra
,BoW_20220809-1140,20220809-1203,survival_dif_lengths,SCAR_NLP,BoW,surv_mo_36,ppv4,,,,,,l2logreg,0.2,,,,,,,,5000.0,0.0,1.0,,5.0,loss_weight,0.8328256011009216,0.8370465636253357,0.8370466232299805,0.8671709299087524,0.8240367770195007,0.9150702357292176,0.8500563502311707,0.9150702426564497,0.7113207547169811,2866.0,1508.0,266.0,612.0,BoW & 36 & 0.83 & 0.84 & 0.84 & 0.87 & 0.92 & 0.82 \\,36
,CNN_20220809-1256,20220809-1328,survival_dif_lengths,SCAR_NLP,CNN,surv_mo_36,ppv4,rand,GoogleNews-vectors-negative300.txt,300.0,300.0,,,,500.0,,,,,,,,False,100.0,1e-05,5.0,loss_weight,0.8383045792579651,0.8326765894889832,0.9061095714569092,0.8708117008209229,0.8529308438301086,0.8894582986831665,0.8124223351478577,0.8894582723279648,0.7573827446438911,2430.0,1308.0,302.0,419.0,CNN & 36 & 0.84 & 0.83 & 0.91 & 0.87 & 0.89 & 0.85 \\,36
,BoW_20220809-1748,20220809-1806,survival_dif_lengths,SCAR_NLP,BoW,surv_mo_36,ppv4,,,,,,l2logreg,0.2,,,,,,,,5000.0,False,1.0,,5.0,loss_weight,0.830292820930481,0.8318943381309509,0.8318943381309509,0.8582882285118103,0.8253662586212158,0.8939456939697266,0.838422417640686,0.8939457202505219,0.7442123094297007,2141.0,1318.0,254.0,453.0,BoW & 36_90afterdx & 0.83 & 0.83 & 0.83 & 0.86 & 0.89 & 0.83 \\,36_90afterdx
,CNN_20220809-1908,20220809-1952,survival_dif_lengths,SCAR_NLP,CNN,surv_mo_36,ppv4,rand,GoogleNews-vectors-negative300.txt,300.0,300.0,,,,500.0,,,,,,,,False,100.0,1e-05,5.0,loss_weight,0.8269323110580444,0.8256869912147522,0.9047491550445556,0.8566884994506836,0.8307632803916931,0.8842839598655701,0.8206107020378113,0.884283955683217,0.746096009253904,2155.0,1290.0,282.0,439.0,CNN & 36_90afterdx & 0.83 & 0.83 & 0.9 & 0.86 & 0.88 & 0.83 \\,36_90afterdx
,BoW_20220810-0912,20220810-0934,survival_dif_lengths,SCAR_NLP,BoW,surv_mo_36,ppv4,,,,,,l2logreg,0.2,,,,,,,,5000.0,False,1.0,,5.0,loss_weight,0.8314900398254395,0.8347593545913696,0.8347593545913696,0.8654031753540039,0.8243573904037476,0.9107505083084106,0.8451613187789917,0.9107505070993914,0.715136476426799,2694.0,1441.0,264.0,574.0,BoW & 36_180afterdx & 0.83 & 0.83 & 0.83 & 0.87 & 0.91 & 0.82 \\,36_180afterdx
,CNN_20220810-1028,20220810-1131,survival_dif_lengths,SCAR_NLP,CNN,surv_mo_36,ppv4,rand,GoogleNews-vectors-negative300.txt,300.0,300.0,,,,500.0,,,,,,,,False,100.0,1e-05,5.0,loss_weight,0.8371832370758057,0.834743857383728,0.912982940673828,0.8688110113143921,0.843508780002594,0.8956781029701233,0.8259788751602173,0.8956780923994039,0.7487323943661972,2404.0,1329.0,280.0,446.0,CNN & 36_180afterdx & 0.84 & 0.83 & 0.91 & 0.87 & 0.9 & 0.84 \\,36_180afterdx
,BoW_20220810-2252,20220810-2316,survival_dif_lengths,SCAR_NLP,BoW,surv_mo_36,ppv4,,,,,,l2logreg,0.2,,,,,,,,5000.0,False,1.0,,5.0,loss_weight,0.8316831588745117,0.8359078168869019,0.8359078168869019,0.8662227392196655,0.8228867053985596,0.914376974105835,0.8489289879798889,0.914376996805112,0.7097078228086711,2862.0,1506.0,268.0,616.0,BoW & 36_1095afterdx & 0.83 & 0.84 & 0.84 & 0.87 & 0.91 & 0.82 \\,36_1095afterdx
,CNN_20220811-0019,20220811-0102,survival_dif_lengths,SCAR_NLP,CNN,surv_mo_36,ppv4,rand,GoogleNews-vectors-negative300.txt,300.0,300.0,,,,500.0,,,,,,,,False,100.0,1e-05,5.0,loss_weight,0.832473635673523,0.8341717720031738,0.9077803492546082,0.8633620142936707,0.8280701637268066,0.9017959237098694,0.8402734398841858,0.9017959495605656,0.7339847991313789,2360.0,1352.0,257.0,490.0,CNN & 36_1095afterdx & 0.83 & 0.83 & 0.91 & 0.86 & 0.9 & 0.83 \\,36_1095afterdx
,CNN_20220820-1323,20220820-1352,cnn_tuning,SCAR_NLP,CNN,surv_mo_36,ppv4,rand,GoogleNews-vectors-negative300.txt,300.0,300.0,0.2,,,500.0,0.0,,,,,,,False,100.0,1e-05,5.0,loss_weight,0.8261942267417908,0.8269592523574829,0.9052057266235352,0.8583958148956299,0.824210524559021,0.8955394625663757,0.8297079205513,0.8955394586351506,0.7271241830065359,2349.0,1335.0,274.0,501.0,CNN & 0.83 & 0.83 & 0.91 & 0.86 & 0.9 & 0.82 \\,
,CNN_20220820-1352,20220820-1410,cnn_tuning,SCAR_NLP,CNN,surv_mo_36,ppv4,rand,GoogleNews-vectors-negative300.txt,300.0,300.0,0.2,,,500.0,0.0,,,,,,,False,100.0,5e-05,5.0,loss_weight,0.836286187171936,0.8398605585098267,0.9138795733451844,0.8659073710441589,0.8270175457000732,0.9086353182792664,0.8527035713195801,0.9086353122590594,0.735656836461126,2357.0,1372.0,237.0,493.0,CNN & 0.84 & 0.84 & 0.91 & 0.87 & 0.91 & 0.83 \\,
