epoch,acc,bal_acc,auc,prec,rec,spec,f1,loss,ppv,npv,tp,fp,tn,fn
0,0.7421829104423523,0.737233579158783,0.8205500841140747,0.7563111782073975,0.7854467630386353,0.6890203952789307,0.7706037163734436,0.5531377792358398,0.7563111798042246,0.7232574189095928,1468.0,473.0,1048.0,401.0
1,0.7805309891700745,0.7781935930252075,0.8562175035476685,0.8009631037712097,0.8009631037712097,0.7554240822792053,0.8009631037712097,0.4733905494213104,0.8009630818619583,0.7554240631163708,1497.0,372.0,1149.0,372.0
2,0.7899705171585083,0.785713791847229,0.867836058139801,0.7989664077758789,0.8271803259849548,0.7442471981048584,0.812828540802002,0.42528536915779114,0.7989664082687339,0.7780068728522337,1546.0,389.0,1132.0,323.0
3,0.7952802181243896,0.7899782657623291,0.8740391731262207,0.7980720400810242,0.8416265249252319,0.738330066204071,0.8192708492279053,0.40552830696105957,0.7980720446473871,0.7914023960535589,1573.0,398.0,1123.0,296.0
4,0.8011799454689026,0.7959408760070801,0.8790698647499084,0.8031455874443054,0.8469769954681396,0.7449046969413757,0.8244791030883789,0.39482101798057556,0.8031456113647895,0.7984496124031008,1583.0,388.0,1133.0,286.0
5,0.8053097128868103,0.8007879257202148,0.883395254611969,0.8101590275764465,0.8448368310928345,0.7567389607429504,0.8271345496177673,0.38673290610313416,0.8101590559261159,0.7987508674531575,1579.0,370.0,1151.0,290.0
6,0.8073746562004089,0.8033950328826904,0.8870382308959961,0.8146997690200806,0.8421615958213806,0.764628529548645,0.8282031416893005,0.38032305240631104,0.8146997929606625,0.7976680384087792,1574.0,358.0,1163.0,295.0
7,0.808849573135376,0.804916262626648,0.8898918032646179,0.8161574602127075,0.8432316780090332,0.7666009068489075,0.8294737339019775,0.3751049041748047,0.8161574313827032,0.7991775188485264,1576.0,355.0,1166.0,293.0
8,0.8129793405532837,0.8097021579742432,0.8921096920967102,0.8231292366981506,0.8416265249252319,0.7777777910232544,0.8322750926017761,0.3705504834651947,0.8231292517006803,0.7998647734956051,1573.0,338.0,1183.0,296.0
9,0.8132743239402771,0.8107653856277466,0.8939273357391357,0.8276776075363159,0.8352059721946716,0.7863247990608215,0.8314247727394104,0.36642053723335266,0.827677624602333,0.7952127659574468,1561.0,325.0,1196.0,308.0
10,0.8174041509628296,0.8144494891166687,0.8954973220825195,0.8286014795303345,0.8432316780090332,0.7856673002243042,0.8358525633811951,0.3637981414794922,0.8286014721345951,0.8030913978494624,1576.0,326.0,1195.0,293.0
11,0.817699134349823,0.8152066469192505,0.896844208240509,0.8314785361289978,0.8394863605499268,0.790926992893219,0.835463285446167,0.36075088381767273,0.8314785373608903,0.8003992015968064,1569.0,318.0,1203.0,300.0
12,0.8194690346717834,0.8171790838241577,0.8979670405387878,0.8341307640075684,0.8394863605499268,0.7948718070983887,0.8367999792098999,0.35824960470199585,0.8341307814992025,0.8011928429423459,1569.0,312.0,1209.0,300.0
13,0.8185840845108032,0.8161317110061646,0.8989812135696411,0.8324496150016785,0.8400214314460754,0.7922419309616089,0.8362183570861816,0.35639551281929016,0.8324496288441146,0.8011968085106383,1570.0,316.0,1205.0,299.0
14,0.8182891011238098,0.8158029317855835,0.8999401926994324,0.8320084810256958,0.8400214314460754,0.7915844917297363,0.8359956741333008,0.3544907569885254,0.8320084790673026,0.8010645375914837,1570.0,317.0,1204.0,299.0
15,0.8182891011238098,0.8167822360992432,0.9007868766784668,0.8377358317375183,0.8314606547355652,0.8021038770675659,0.834586501121521,0.352276474237442,0.8377358490566038,0.7947882736156352,1554.0,301.0,1220.0,315.0
16,0.81917405128479,0.8171563744544983,0.9015846848487854,0.8354700803756714,0.8368111252784729,0.7975016236305237,0.8361400365829468,0.3511381447315216,0.8354700854700855,0.7990777338603425,1564.0,308.0,1213.0,305.0
17,0.8171091675758362,0.8146104216575623,0.9022777080535889,0.8309485912322998,0.8389512896537781,0.7902695536613464,0.8349307179450989,0.3500995934009552,0.830948595654478,0.7997338656021291,1568.0,319.0,1202.0,301.0

Run Arguments:
cuda: True
gpu: 0
cuda_block: False
epochs: 100
batch_size: 8
seed: 3435
patience: 5
monitor_metric: bal_acc
log_every: 10
imbalance_fix: loss_weight
data_dir: C:\Users\jjnunez\PycharmProjects\scar_nlp_data\data
results_dir: C:\Users\jjnunez\PycharmProjects\scar_nlp\results
data_version: ppv4
target: survic_mo_36
table: survival_dif_lengths
dataset: SCAR
debug: False
mode: rand
output_channel: 500
words_dim: 300
embed_dim: 300
dropout: 0.5
lr: 1e-05
weight_decay: 0
pretrained_dir: C:\Users\jjnunez\PycharmProjects\hedwig-data\embeddings\word2vec
pretrained_file: GoogleNews-vectors-negative300.txt
device: cuda:0
target_classes: 1
vocab_size: 19487
run_name: CNN_20220208-2202
results_dir_target: C:\Users\jjnunez\PycharmProjects\scar_nlp\results\survic_mo_36
results_dir_model: C:\Users\jjnunez\PycharmProjects\scar_nlp\results\survic_mo_36\CNN
