epoch,acc,bal_acc,auc,prec,rec,spec,f1,loss,ppv,npv,tp,fp,tn,fn
0,0.6209313869476318,0.7370774149894714,0.8397307395935059,0.9719212055206299,0.575218677520752,0.8989361524581909,0.7227106690406799,0.17757630348205566,0.9719211822660099,0.25814663951120165,1973.0,57.0,507.0,1457.0
1,0.766399621963501,0.7899188995361328,0.8640998601913452,0.9629217386245728,0.7571428418159485,0.8226950168609619,0.847723126411438,0.14948336780071259,0.9629217649239896,0.35774865073245954,2597.0,100.0,464.0,833.0
2,0.8117175698280334,0.795562744140625,0.8695831298828125,0.9563735723495483,0.8180757761001587,0.7730496525764465,0.8818353414535522,0.1318964958190918,0.956373551465576,0.41132075471698115,2806.0,128.0,436.0,624.0
3,0.8179769515991211,0.7932810187339783,0.8744521141052246,0.954285740852356,0.8276968002319336,0.758865237236023,0.8864949345588684,0.12645724415779114,0.9542857142857143,0.4200196270853778,2839.0,136.0,428.0,591.0
4,0.81947922706604,0.7956371307373047,0.8786567449569702,0.9549882411956787,0.8288629651069641,0.76241135597229,0.8874668478965759,0.12343871593475342,0.9549882431978501,0.42281219272369713,2843.0,134.0,430.0,587.0
5,0.8227341175079346,0.8019766807556152,0.8823780417442322,0.9570181369781494,0.8309037685394287,0.7730496525764465,0.8895130753517151,0.12102961540222168,0.9570181329751511,0.42913385826771655,2850.0,128.0,436.0,580.0
6,0.8249874711036682,0.8025479316711426,0.8853405714035034,0.956841766834259,0.8338192701339722,0.771276593208313,0.891104519367218,0.11913661658763885,0.9568417530946804,0.43283582089552236,2860.0,129.0,435.0,570.0
7,0.8204807043075562,0.8058500289916992,0.8877804279327393,0.9590524435043335,0.8262390494346619,0.7854610085487366,0.8877055644989014,0.11755809932947159,0.9590524534686972,0.42637151106833493,2834.0,121.0,443.0,596.0
8,0.8204807043075562,0.8073315620422363,0.8898504972457886,0.9596747159957886,0.825655996799469,0.7890070676803589,0.8876351714134216,0.116316057741642,0.9596746865469332,0.42665388302972196,2832.0,119.0,445.0,598.0
9,0.8222333788871765,0.8083519339561462,0.8915369510650635,0.959770143032074,0.8276968002319336,0.7890070676803589,0.8888540863990784,0.11533873528242111,0.9597701149425287,0.4295366795366795,2839.0,119.0,445.0,591.0
10,0.8222333788871765,0.8105741739273071,0.8930395841598511,0.9607046246528625,0.8268221616744995,0.7943262457847595,0.8887495398521423,0.11448170989751816,0.9607046070460704,0.42994241842610365,2836.0,116.0,448.0,594.0
11,0.8232348561286926,0.8118980526924133,0.8943508267402649,0.9610697627067566,0.8276968002319336,0.7960993051528931,0.8894109725952148,0.11376392096281052,0.9610697359512526,0.43173076923076925,2839.0,115.0,449.0,591.0
12,0.8229844570159912,0.8132337331771851,0.8954174518585205,0.9616819024085999,0.8268221616744995,0.7996453642845154,0.8891675472259521,0.11313571035861969,0.9616819260766362,0.43157894736842106,2836.0,113.0,451.0,594.0
13,0.8239859938621521,0.8138168454170227,0.8964104652404785,0.9617338180541992,0.82798832654953,0.7996453642845154,0.8898636102676392,0.11259524524211884,0.9617338300033864,0.4332372718539865,2840.0,113.0,451.0,590.0
14,0.8257386088371277,0.8126150369644165,0.8973222970962524,0.9608901143074036,0.8309037685394287,0.7943262457847595,0.891182005405426,0.11221959441900253,0.9608900876601484,0.4357976653696498,2850.0,116.0,448.0,580.0
15,0.8264897465705872,0.816015362739563,0.8981059789657593,0.9621749520301819,0.8306122422218323,0.8014184236526489,0.891566276550293,0.11179561167955399,0.9621749408983451,0.43756050338818975,2849.0,112.0,452.0,581.0
16,0.8292438387870789,0.8161373138427734,0.8988323211669922,0.961693525314331,0.834402322769165,0.7978723645210266,0.8935373425483704,0.1115531176328659,0.9616935483870968,0.44204322200392926,2862.0,114.0,450.0,568.0
17,0.8277416229248047,0.8189665079116821,0.8994747996330261,0.9631756544113159,0.8311953544616699,0.8067376017570496,0.8923317790031433,0.11111278086900711,0.9631756756756756,0.4400386847195358,2851.0,109.0,455.0,579.0
18,0.8289934992790222,0.8182138204574585,0.900139570236206,0.9626137018203735,0.8332361578941345,0.8031914830207825,0.893264651298523,0.11083832383155823,0.9626136746379252,0.4419512195121951,2858.0,111.0,453.0,572.0
19,0.8267400860786438,0.8191241025924683,0.9006611108779907,0.963439404964447,0.8297376036643982,0.8085106611251831,0.8916040062904358,0.1104731336236,0.963439404197698,0.43846153846153846,2846.0,108.0,456.0,584.0
20,0.8297446370124817,0.8186511397361755,0.9012091159820557,0.9626514315605164,0.8341107964515686,0.8031914830207825,0.8937832117080688,0.1104055717587471,0.9626514131897712,0.4432485322896282,2861.0,111.0,453.0,569.0
21,0.8294942378997803,0.8185054063796997,0.9015988707542419,0.9626388549804688,0.8338192701339722,0.8031914830207825,0.893610417842865,0.11022160947322845,0.9626388421406934,0.44281524926686217,2860.0,111.0,453.0,570.0
22,0.8304957151412964,0.8153846859931946,0.9019209146499634,0.9611390233039856,0.8364431262016296,0.7943262457847595,0.8944661021232605,0.11029308289289474,0.9611390284757119,0.44400396432111,2869.0,116.0,448.0,561.0
23,0.8284927606582642,0.8186630010604858,0.9023044109344482,0.9629005193710327,0.8323615193367004,0.804964542388916,0.8928850889205933,0.10983508825302124,0.9629005059021922,0.4412050534499514,2855.0,110.0,454.0,575.0
24,0.8304957151412964,0.8146439790725708,0.9025882482528687,0.9608302712440491,0.8367347121238708,0.792553186416626,0.8944990038871765,0.11008023470640182,0.9608302644794108,0.4438927507447865,2870.0,117.0,447.0,560.0

Run Arguments:
cuda: True
gpu: 0
cuda_block: False
epochs: 100
batch_size: 8
seed: 3435
patience: 5
monitor_metric: bal_acc
log_every: 10
imbalance_fix: loss_weight
data_dir: C:\Users\jjnunez\PycharmProjects\scar_nlp_data\data
results_dir: C:\Users\jjnunez\PycharmProjects\scar_nlp\results
data_version: ppv4
target: survic_mo_6
table: survival_dif_lengths
dataset: SCAR
debug: False
mode: rand
output_channel: 500
words_dim: 300
embed_dim: 300
dropout: 0.5
lr: 1e-05
weight_decay: 0
pretrained_dir: C:\Users\jjnunez\PycharmProjects\hedwig-data\embeddings\word2vec
pretrained_file: GoogleNews-vectors-negative300.txt
device: cuda:0
target_classes: 1
vocab_size: 20699
run_name: CNN_20220208-2120
results_dir_target: C:\Users\jjnunez\PycharmProjects\scar_nlp\results\survic_mo_6
results_dir_model: C:\Users\jjnunez\PycharmProjects\scar_nlp\results\survic_mo_6\CNN
