epoch,acc,bal_acc,auc,prec,rec,spec,f1,loss,ppv,npv,tp,fp,tn,fn
0,0.5928893089294434,0.7281584143638611,0.8371089100837708,0.9752370715141296,0.5396501421928406,0.9166666865348816,0.6948198080062866,0.17774057388305664,0.9752370916754478,0.24666030534351144,1851.0,47.0,517.0,1579.0
1,0.7461192011833191,0.782555878162384,0.8631603717803955,0.963901698589325,0.7317784428596497,0.8333333134651184,0.8319522738456726,0.15035907924175262,0.9639016897081413,0.3381294964028777,2510.0,94.0,470.0,920.0
2,0.8054581880569458,0.7896960973739624,0.8704184889793396,0.9550600051879883,0.8116617798805237,0.7677304744720459,0.8775413632392883,0.13236090540885925,0.9550600343053173,0.40129749768303985,2784.0,131.0,433.0,646.0
3,0.8159739375114441,0.7928556203842163,0.8748459219932556,0.9544687867164612,0.8250728845596313,0.7606382966041565,0.8850664496421814,0.1264571249485016,0.954468802698145,0.41690962099125367,2830.0,135.0,429.0,600.0
4,0.815473198890686,0.7947863340377808,0.8787208199501038,0.9553601741790771,0.8236151337623596,0.7659574747085571,0.8846093416213989,0.12364114075899124,0.9553601623266824,0.4165863066538091,2825.0,132.0,432.0,605.0
5,0.8219829797744751,0.7993171215057373,0.882077693939209,0.9560549855232239,0.8309037685394287,0.7677304744720459,0.8890968561172485,0.12152215838432312,0.9560550150956055,0.42744323790720634,2850.0,131.0,433.0,580.0
6,0.8204807043075562,0.8006647825241089,0.8850531578063965,0.9568878412246704,0.8282799124717712,0.7730496525764465,0.8879512548446655,0.11967764049768448,0.9568878410239138,0.4253658536585366,2841.0,128.0,436.0,589.0
7,0.8229844570159912,0.8028632402420044,0.8875529766082764,0.9573395848274231,0.8309037685394287,0.7748227119445801,0.8896519541740417,0.11820954829454422,0.9573396036278132,0.4296951819075713,2850.0,127.0,437.0,580.0
8,0.8239859938621521,0.8041870594024658,0.8896811604499817,0.9577039480209351,0.8317784070968628,0.7765957713127136,0.890310525894165,0.11706734448671341,0.9577039274924471,0.4315270935960591,2853.0,126.0,438.0,577.0
9,0.8247371315956116,0.8083281517028809,0.8914821147918701,0.9592866897583008,0.8311953544616699,0.7854610085487366,0.8906592130661011,0.11609067767858505,0.9592866756393001,0.4334637964774951,2851.0,121.0,443.0,579.0
10,0.8239859938621521,0.8078908920288086,0.8930649161338806,0.9592455625534058,0.8303207159042358,0.7854610085487366,0.8901391625404358,0.11513565480709076,0.9592455372179185,0.4321951219512195,2848.0,121.0,443.0,582.0
11,0.8237355947494507,0.8070043325424194,0.8943655490875244,0.9589225649833679,0.8303207159042358,0.783687949180603,0.89000004529953,0.11444710195064545,0.958922558922559,0.431640625,2848.0,122.0,442.0,582.0
12,0.8269904851913452,0.805936336517334,0.8954970836639404,0.9578736424446106,0.8352769613265991,0.7765957713127136,0.8923843502998352,0.11404849588871002,0.9578736208625878,0.43668993020937186,2865.0,126.0,438.0,565.0
13,0.8282423615455627,0.807405948638916,0.8966420888900757,0.9582498073577881,0.8364431262016296,0.7783687710762024,0.8932129144668579,0.11354494094848633,0.958249832999332,0.439,2869.0,125.0,439.0,561.0
14,0.8254882097244263,0.8072839975357056,0.8975218534469604,0.9587109684944153,0.8326530456542969,0.7819148898124695,0.8912467360496521,0.11292162537574768,0.9587109768378651,0.43448275862068964,2856.0,123.0,441.0,574.0

Run Arguments:
cuda: True
gpu: 0
cuda_block: False
epochs: 100
batch_size: 8
seed: 3435
patience: 5
monitor_metric: bal_acc
log_every: 10
imbalance_fix: loss_weight
data_dir: C:\Users\jjnunez\PycharmProjects\scar_nlp_data\data
results_dir: C:\Users\jjnunez\PycharmProjects\scar_nlp\results
data_version: ppv4
target: survic_mo_6
table: survival_dif_lengths
table_extra: 6
dataset: SCAR
debug: False
mode: rand
output_channel: 500
words_dim: 300
embed_dim: 300
dropout: 0.5
lr: 1e-05
weight_decay: 0
pretrained_dir: C:\Users\jjnunez\PycharmProjects\hedwig-data\embeddings\word2vec
pretrained_file: GoogleNews-vectors-negative300.txt
device: cuda:0
target_classes: 1
vocab_size: 20699
run_name: CNN_20220210-1729
results_dir_target: C:\Users\jjnunez\PycharmProjects\scar_nlp\results\survic_mo_6
results_dir_model: C:\Users\jjnunez\PycharmProjects\scar_nlp\results\survic_mo_6\CNN
