epoch,acc,bal_acc,auc,prec,rec,spec,f1,loss,ppv,npv,tp,fp,tn,fn,epoch
0,0.32129132747650146,0.5,0.5178453922271729,0.32129132747650146,1.0,0.0,0.48632925748825073,0.0,0.32129132747650146,0.0,836.0,1766.0,0.0,0.0,0.0
1,0.3220599591732025,0.5005662441253662,0.519051730632782,0.32153844833374023,1.0,0.0011325028026476502,0.48661231994628906,0.0,0.32153844833374023,1.0,836.0,1764.0,2.0,0.0,1.0
2,0.676402747631073,0.4983012080192566,0.541264533996582,0.0,0.0,0.9966024160385132,0.0,0.0,0.0,0.6779661178588867,0.0,6.0,1760.0,836.0,2.0
3,0.6771714091300964,0.4988675117492676,0.6067823767662048,0.0,0.0,0.9977350234985352,0.0,0.0,0.0,0.6782140135765076,0.0,4.0,1762.0,836.0,3.0
4,0.6806302666664124,0.505195140838623,0.6732790470123291,0.6315789222717285,0.014354066923260689,0.9960362315177917,0.028070176020264626,0.0,0.6315789222717285,0.6809911131858826,12.0,7.0,1759.0,824.0,4.0
5,0.7240583896636963,0.5913615226745605,0.7313109636306763,0.7360000014305115,0.2200956791639328,0.9626274108886719,0.3388581871986389,0.0,0.7360000014305115,0.7227891087532043,184.0,66.0,1700.0,652.0,5.0
6,0.7663335800170898,0.6914817094802856,0.7876700162887573,0.6972318291664124,0.4820574223995209,0.900905966758728,0.5700141191482544,0.0,0.6972318291664124,0.7860671877861023,403.0,175.0,1591.0,433.0,6.0
7,0.7901614308357239,0.7402166128158569,0.8232361078262329,0.7030812501907349,0.60047847032547,0.8799546957015991,0.6477419137954712,0.0,0.7030812501907349,0.8230932354927063,502.0,212.0,1554.0,334.0,7.0
8,0.7824749946594238,0.768569827079773,0.8465994000434875,0.6421052813529968,0.7296651005744934,0.8074744939804077,0.6830906867980957,0.0,0.6421052813529968,0.8631961941719055,610.0,340.0,1426.0,226.0,8.0
9,0.7928516268730164,0.7903873920440674,0.8606777191162109,0.6465942859649658,0.7834928035736084,0.7972819805145264,0.7084910869598389,0.0,0.6465942859649658,0.8860918879508972,655.0,358.0,1408.0,181.0,9.0
10,0.7690238356590271,0.7888965606689453,0.8688355684280396,0.5998300909996033,0.844497561454773,0.7332955598831177,0.7014406323432922,0.0,0.5998300909996033,0.9087718725204468,706.0,471.0,1295.0,130.0,10.0
11,0.7851652503013611,0.7976382970809937,0.8752831220626831,0.6242152452468872,0.8325358629226685,0.7627406716346741,0.7134802341461182,0.0,0.6242152452468872,0.9058507084846497,696.0,419.0,1347.0,140.0,11.0
12,0.7855495810508728,0.8020159006118774,0.8789532780647278,0.6219298243522644,0.8480861783027649,0.75594562292099,0.7176112532615662,0.0,0.6219298243522644,0.9131326675415039,709.0,431.0,1335.0,127.0,12.0
13,0.8132206201553345,0.8129521608352661,0.8835107088088989,0.6736111044883728,0.8122009038925171,0.8137033581733704,0.736442506313324,0.0,0.6736111044883728,0.9015056490898132,679.0,329.0,1437.0,157.0,13.0
14,0.8116832971572876,0.814339280128479,0.885943591594696,0.6682879328727722,0.8217703104019165,0.8069082498550415,0.737124502658844,0.0,0.6682879328727722,0.9053367376327515,687.0,341.0,1425.0,149.0,14.0
15,0.8063028454780579,0.8185645341873169,0.8897436261177063,0.6517367362976074,0.8528708219528198,0.7842581868171692,0.7388600707054138,0.0,0.6517367362976074,0.9184349775314331,713.0,381.0,1385.0,123.0,15.0
16,0.8289777040481567,0.8207807540893555,0.8907351493835449,0.707317054271698,0.7978469133377075,0.8437145948410034,0.7498595118522644,0.0,0.707317054271698,0.8981314897537231,667.0,276.0,1490.0,169.0,16.0
17,0.8143736124038696,0.8232502937316895,0.8937126994132996,0.6657276749610901,0.8480861783027649,0.7984144687652588,0.7459232211112976,0.0,0.6657276749610901,0.9173715710639954,709.0,356.0,1410.0,127.0,17.0
18,0.8220599293708801,0.8257632255554199,0.8945194482803345,0.6819512248039246,0.8361244201660156,0.8154020309448242,0.751209020614624,0.0,0.6819512248039246,0.9131261706352234,699.0,326.0,1440.0,137.0,18.0
19,0.8385856747627258,0.8306935429573059,0.8981834650039673,0.7222222089767456,0.8086124658584595,0.8527746200561523,0.7629797458648682,0.0,0.7222222089767456,0.9039615392684937,676.0,260.0,1506.0,160.0,19.0
20,0.8328208923339844,0.8289663195610046,0.9002922773361206,0.707342267036438,0.8181818127632141,0.8397508859634399,0.7587354183197021,0.0,0.707342267036438,0.9070336222648621,684.0,283.0,1483.0,152.0,20.0
21,0.8335895538330078,0.8295326232910156,0.8993021249771118,0.7088083028793335,0.8181818127632141,0.8408833742141724,0.7595779895782471,0.0,0.7088083028793335,0.907147228717804,684.0,281.0,1485.0,152.0,21.0
22,0.836664080619812,0.8261283040046692,0.9023297429084778,0.723127007484436,0.7966507077217102,0.8556059002876282,0.7581104040145874,0.0,0.723127007484436,0.8988696932792664,666.0,255.0,1511.0,170.0,22.0
23,0.8355110883712769,0.8300033807754517,0.903309166431427,0.7138364911079407,0.8145933151245117,0.8454133868217468,0.7608939409255981,0.0,0.7138364911079407,0.9059466123580933,681.0,273.0,1493.0,155.0,23.0
24,0.8420446515083313,0.8285172581672668,0.9038599133491516,0.736900806427002,0.790669858455658,0.8663646578788757,0.7628389596939087,0.0,0.736900806427002,0.8973606824874878,661.0,236.0,1530.0,175.0,24.0

Run Arguments:
cuda: True
gpu: 0
cuda_block: False
epochs: 100
seed: 3435
patience: 5
monitor_metric: bal_acc
log_every: 10
imbalance_fix: undersampling
data_dir: C:\Users\jjnunez\PycharmProjects\scar_nlp_data\data
results_dir: C:\Users\jjnunez\PycharmProjects\scar_nlp\results
data_version: ppv4
target: survic_mo_60
table: compare_token_len_survic
table_extra: 512
dataset: SCAR
debug: False
max_tokens: 512
lr: 1e-05
weight_decay: 0
batch_size: 12
pretrained_dir: C:\Users\jjnunez\PycharmProjects\hedwig-data\models
pretrained_file: bert-base-uncased
device: cuda:0
run_name: BERT_20220228-1848
results_dir_target: C:\Users\jjnunez\PycharmProjects\scar_nlp\results\survic_mo_60
results_dir_model: C:\Users\jjnunez\PycharmProjects\scar_nlp\results\survic_mo_60\BERT
