epoch,acc,bal_acc,auc,prec,rec,spec,f1,loss,ppv,npv,tp,fp,tn,fn
0,0.6787086725234985,0.5,0.6424369812011719,0.0,0.0,1.0,0.0,0.9327069520950317,0.0,0.6787086856264412,0.0,0.0,1766.0,836.0
1,0.6790930032730103,0.5018579363822937,0.7157989740371704,0.5555555820465088,0.005980861373245716,0.9977350234985352,0.011834320612251759,0.932422399520874,0.5555555555555556,0.679521789433089,5.0,4.0,1762.0,831.0
2,0.7167563438415527,0.5885018706321716,0.7574319839477539,0.6736842393875122,0.22966507077217102,0.9473386406898499,0.3425512909889221,0.9320589900016785,0.6736842105263158,0.7220543806646526,192.0,93.0,1673.0,644.0
3,0.7394312024116516,0.6681983470916748,0.7848736047744751,0.6261980533599854,0.46889951825141907,0.8674971461296082,0.5362516641616821,0.931524932384491,0.6261980830670927,0.7753036437246964,392.0,234.0,1532.0,444.0
4,0.7536510229110718,0.7092251777648926,0.7970767617225647,0.6245210766792297,0.5849282145500183,0.8335220813751221,0.6040765643119812,0.930731475353241,0.6245210727969349,0.8092358438702584,489.0,294.0,1472.0,347.0
5,0.7240583896636963,0.7220700979232788,0.7983978986740112,0.5546296238899231,0.7165071964263916,0.7276330590248108,0.6252610087394714,0.9295361042022705,0.5546296296296296,0.8442838370565046,599.0,481.0,1285.0,237.0
6,0.7059953808784485,0.720416784286499,0.7958124876022339,0.5295587182044983,0.760765552520752,0.6800679564476013,0.624447762966156,0.9275686144828796,0.5295587010824313,0.8572448251249107,636.0,565.0,1201.0,200.0
7,0.7029208540916443,0.7042934894561768,0.7845891118049622,0.5280998945236206,0.7081339955329895,0.700452983379364,0.6050076484680176,0.9242540597915649,0.528099910793934,0.8352464550979068,592.0,529.0,1237.0,244.0
8,0.6863951086997986,0.6738513708114624,0.7662973403930664,0.5095419883728027,0.6387559771537781,0.7089467644691467,0.5668789148330688,0.9177219867706299,0.5095419847328244,0.8056628056628057,534.0,514.0,1252.0,302.0
9,0.6771714091300964,0.6462689638137817,0.7428239583969116,0.49787235260009766,0.559808611869812,0.7327293157577515,0.5270270109176636,0.9013375639915466,0.4978723404255319,0.7785800240673887,468.0,472.0,1294.0,368.0
10,0.6610299944877625,0.6724878549575806,0.7326284050941467,0.4812091588973999,0.7045454382896423,0.6404303312301636,0.5718446969985962,0.8559932112693787,0.4812091503267974,0.8207547169811321,589.0,635.0,1131.0,247.0

Run Arguments:
cuda: True
gpu: 0
cuda_block: False
epochs: 100
seed: 3435
patience: 5
monitor_metric: bal_acc
log_every: 10
imbalance_fix: loss_weight
data_dir: C:\Users\jjnunez\PycharmProjects\scar_nlp_data\data
results_dir: C:\Users\jjnunez\PycharmProjects\scar_nlp\results
data_version: ppv4
target: survic_mo_60
table: survival_all_models
table_extra: 
dataset: SCAR
debug: False
bidirectional: False
num_layers: 2
hidden_dim: 128
mode: rand
words_dim: 300
embed_dim: 300
weight_decay: 0
dropout: 0.5
lr: 1e-05
batch_size: 64
pretrained_dir: C:\Users\jjnunez\PycharmProjects\hedwig-data\embeddings\word2vec
pretrained_file: GoogleNews-vectors-negative300.txt
results_path: results\reg_lstm
device: cuda:0
target_classes: 1
vocab_size: 17411
run_name: LSTM_20220216-1540
results_dir_target: C:\Users\jjnunez\PycharmProjects\scar_nlp\results\survic_mo_60
results_dir_model: C:\Users\jjnunez\PycharmProjects\scar_nlp\results\survic_mo_60\LSTM
