epoch,acc,bal_acc,auc,prec,rec,spec,f1,loss,ppv,npv,tp,fp,tn,fn
0,0.7817063927650452,0.6807594895362854,0.8621621131896973,0.8366833925247192,0.3983253538608551,0.9631936550140381,0.5397082567214966,0.9221731424331665,0.8366834170854272,0.7717785843920145,333.0,65.0,1701.0,503.0
1,0.8020753264427185,0.7830092310905457,0.8594677448272705,0.6785317063331604,0.7296651005744934,0.8363533616065979,0.7031700611114502,0.8947657346725464,0.67853170189099,0.8672930123311803,610.0,289.0,1477.0,226.0
2,0.7413527965545654,0.7426848411560059,0.8097747564315796,0.5751152038574219,0.7464115023612976,0.7389581203460693,0.6496616005897522,0.8245394229888916,0.5751152073732719,0.8602504943968359,624.0,461.0,1305.0,212.0
3,0.69215989112854,0.7206178903579712,0.8245500922203064,0.5134305357933044,0.8002392053604126,0.6409965753555298,0.625525951385498,0.767989456653595,0.513430544896393,0.8714395688991532,669.0,634.0,1132.0,167.0
4,0.6498847007751465,0.7127811908721924,0.8465437889099121,0.47597694396972656,0.8887559771537781,0.5368063449859619,0.6199415922164917,0.7369436025619507,0.47597693786034595,0.9106628242074928,743.0,818.0,948.0,93.0
5,0.6990776062011719,0.7458716630935669,0.8560075759887695,0.5187544226646423,0.8767942786216736,0.6149490475654602,0.6518452763557434,0.711159884929657,0.5187544232130219,0.913372582001682,733.0,680.0,1086.0,103.0
6,0.7744042873382568,0.7934902906417847,0.860714316368103,0.6066837906837463,0.8468899726867676,0.7400906085968018,0.7069396376609802,0.6631277799606323,0.6066838046272494,0.910801393728223,708.0,459.0,1307.0,128.0
7,0.7678708434104919,0.7921416759490967,0.8681927919387817,0.5961857438087463,0.8600478172302246,0.7242355346679688,0.7042115926742554,0.6339460611343384,0.5961857379767828,0.916189111747851,719.0,487.0,1279.0,117.0
8,0.8059185147285461,0.8082026243209839,0.8756190538406372,0.6605237722396851,0.8145933151245117,0.8018119931221008,0.7295125722885132,0.6215755343437195,0.6605237633365665,0.9013367281985997,681.0,350.0,1416.0,155.0
9,0.6879323720932007,0.7458499670028687,0.872047483921051,0.5080321431159973,0.9078947305679321,0.5838052034378052,0.6515021324157715,0.663352370262146,0.5080321285140562,0.9305054151624549,759.0,735.0,1031.0,77.0
10,0.8101460337638855,0.821395754814148,0.8892152309417725,0.6577490568161011,0.8528708219528198,0.7899207472801208,0.7427082657814026,0.582810640335083,0.6577490774907749,0.9189723320158103,713.0,371.0,1395.0,123.0
11,0.7655649781227112,0.7957972884178162,0.8882181644439697,0.5906901955604553,0.880382776260376,0.7112118005752563,0.7070125341415405,0.5879234075546265,0.5906902086677368,0.9262536873156342,736.0,510.0,1256.0,100.0
12,0.7928516268730164,0.812119722366333,0.8885135054588318,0.629018247127533,0.8660287261009216,0.7582106590270996,0.7287368178367615,0.5762454867362976,0.629018245004344,0.9228118538938663,724.0,427.0,1339.0,112.0
13,0.8120676279067993,0.8259609937667847,0.8961985111236572,0.6578707695007324,0.8648325204849243,0.787089467048645,0.7472867965698242,0.5578559637069702,0.6578707916287534,0.9248170326014638,723.0,376.0,1390.0,113.0
14,0.8162951469421387,0.8284454345703125,0.8996095657348633,0.6651291251182556,0.8624401688575745,0.7944507598876953,0.7510416507720947,0.5543747544288635,0.665129151291513,0.9242424242424242,721.0,363.0,1403.0,115.0
15,0.8416602611541748,0.8405175805091858,0.9073634147644043,0.7172130942344666,0.8373205661773682,0.8437145948410034,0.7726269364356995,0.5593741536140442,0.7172131147540983,0.9163591635916359,700.0,276.0,1490.0,136.0
16,0.8297463655471802,0.827016294002533,0.9068726301193237,0.7011259198188782,0.8193780183792114,0.8346545696258545,0.7556535601615906,0.5274479985237122,0.7011258955987717,0.9070769230769231,685.0,292.0,1474.0,151.0
17,0.8431975245475769,0.8485792279243469,0.9100770950317383,0.710629940032959,0.8636363744735718,0.8335220813751221,0.779697597026825,0.5302850604057312,0.7106299212598425,0.9281210592686002,722.0,294.0,1472.0,114.0
18,0.8424289226531982,0.8319499492645264,0.9107768535614014,0.7325327396392822,0.8026315569877625,0.8612684011459351,0.7659816741943359,0.5178331136703491,0.732532751091703,0.902135231316726,671.0,245.0,1521.0,165.0
19,0.8439661860466003,0.8444210290908813,0.9109542369842529,0.7184959053993225,0.8456937670707703,0.8431483507156372,0.7769230604171753,0.5276824831962585,0.7184959349593496,0.9202719406674907,707.0,277.0,1489.0,129.0
20,0.81552654504776,0.8294540643692017,0.9082598090171814,0.6624087691307068,0.8684210777282715,0.7904869914054871,0.7515527606010437,0.5203716158866882,0.6624087591240876,0.9269588313413014,726.0,370.0,1396.0,110.0
21,0.831667959690094,0.8359909653663635,0.9094932079315186,0.6950980424880981,0.8480861186981201,0.8238958120346069,0.7640085816383362,0.523670494556427,0.6950980392156862,0.9197218710493047,709.0,311.0,1455.0,127.0
22,0.8289777040481567,0.8453476428985596,0.9152783155441284,0.6778889894485474,0.8911483287811279,0.799547016620636,0.7700258493423462,0.5037069916725159,0.6778889899909009,0.9394544244843646,745.0,354.0,1412.0,91.0

Run Arguments:
cuda: True
gpu: 0
cuda_block: False
epochs: 100
seed: 3435
patience: 5
monitor_metric: bal_acc
log_every: 10
imbalance_fix: loss_weight
data_dir: C:\Users\jjnunez\PycharmProjects\scar_nlp_data\data
results_dir: C:\Users\jjnunez\PycharmProjects\scar_nlp\results
data_version: ppv4
target: survic_mo_60
table: see_counselling
table_extra: 
dataset: SCAR
debug: False
bidirectional: True
num_layers: 1
hidden_dim: 512
mode: rand
words_dim: 300
embed_dim: 300
weight_decay: 0
dropout: 0.5
lr: 1e-05
batch_size: 16
embed_droprate: 0.1
wdrop: 0.2
pretrained_dir: C:\Users\jjnunez\PycharmProjects\hedwig-data\embeddings\word2vec
pretrained_file: GoogleNews-vectors-negative300.txt
results_path: results\reg_lstm
device: cuda:0
target_classes: 1
vocab_size: 17411
run_name: LSTM_20220222-1640
results_dir_target: C:\Users\jjnunez\PycharmProjects\scar_nlp\results\survic_mo_60
results_dir_model: C:\Users\jjnunez\PycharmProjects\scar_nlp\results\survic_mo_60\LSTM
