epoch,acc,bal_acc,auc,prec,rec,spec,f1,loss,ppv,npv,tp,fp,tn,fn
0,0.6983090043067932,0.7553841471672058,0.8586166501045227,0.517241358757019,0.9150717854499817,0.5956965088844299,0.6609070897102356,0.9229341149330139,0.5172413793103449,0.9367764915405165,765.0,714.0,1052.0,71.0
1,0.7375096082687378,0.7782787084579468,0.8601189851760864,0.5571321845054626,0.8923444747924805,0.6642128825187683,0.6859769821166992,0.8976148366928101,0.5571321882001493,0.9287410926365796,746.0,593.0,1173.0,90.0
2,0.7056110501289368,0.7532044649124146,0.8510270714759827,0.5247875452041626,0.8863636255264282,0.6200453042984009,0.6592527031898499,0.8373472690582275,0.5247875354107648,0.9201680672268907,741.0,671.0,1095.0,95.0
3,0.6137586236000061,0.6871122121810913,0.8399990797042847,0.4491270184516907,0.8923444747924805,0.48187994956970215,0.5975170135498047,0.7617378234863281,0.44912703190848885,0.9043570669500531,746.0,915.0,851.0,90.0
4,0.6260568499565125,0.6952273845672607,0.84589022397995,0.4577942192554474,0.8887559771537781,0.5016987323760986,0.6043106913566589,0.7401242852210999,0.45779420825631545,0.9050051072522982,743.0,880.0,886.0,93.0
5,0.6591084003448486,0.7183163166046143,0.8514071106910706,0.4833224415779114,0.8839712738990784,0.5526613593101501,0.6249471306800842,0.7165859341621399,0.4833224329627207,0.9095992544268406,739.0,790.0,976.0,97.0
6,0.7505764961242676,0.7475900650024414,0.8445179462432861,0.5891324877738953,0.739234447479248,0.75594562292099,0.6557028889656067,0.7037770748138428,0.5891325071496664,0.8596265292981327,618.0,431.0,1335.0,218.0

Run Arguments:
cuda: True
gpu: 0
cuda_block: False
epochs: 100
seed: 3435
patience: 5
monitor_metric: bal_acc
log_every: 10
imbalance_fix: loss_weight
data_dir: C:\Users\jjnunez\PycharmProjects\scar_nlp_data\data
results_dir: C:\Users\jjnunez\PycharmProjects\scar_nlp\results
data_version: ppv4
target: survic_mo_60
table: survival_all_models
table_extra: 
dataset: SCAR
debug: False
bidirectional: True
num_layers: 1
hidden_dim: 512
mode: rand
words_dim: 300
embed_dim: 300
weight_decay: 0
dropout: 0.5
lr: 1e-05
batch_size: 16
embed_droprate: 0.1
wdrop: 0.2
pretrained_dir: C:\Users\jjnunez\PycharmProjects\hedwig-data\embeddings\word2vec
pretrained_file: GoogleNews-vectors-negative300.txt
results_path: results\reg_lstm
device: cuda:0
target_classes: 1
vocab_size: 17411
run_name: LSTM_20220222-2310
results_dir_target: C:\Users\jjnunez\PycharmProjects\scar_nlp\results\survic_mo_60
results_dir_model: C:\Users\jjnunez\PycharmProjects\scar_nlp\results\survic_mo_60\LSTM
