epoch,acc,bal_acc,auc,prec,rec,spec,f1,loss,ppv,npv,tp,fp,tn,fn,epoch
0,0.6787086725234985,0.5,0.5431820750236511,0.0,0.0,1.0,0.0,0.0,0.0,0.6787086725234985,0.0,0.0,1766.0,836.0,0.0
1,0.8136048913002014,0.7738652229309082,0.8712631464004517,0.731836199760437,0.6626794338226318,0.8850509524345398,0.6955429911613464,0.0,0.731836199760437,0.8471544981002808,554.0,203.0,1563.0,282.0,1.0
2,0.828593373298645,0.7827023863792419,0.894591212272644,0.7769886255264282,0.6543062329292297,0.9110985398292542,0.7103896141052246,0.0,0.7769886255264282,0.8477344512939453,547.0,157.0,1609.0,289.0,2.0
3,0.8343582153320312,0.8149807453155518,0.8997009992599487,0.733564019203186,0.760765552520752,0.8691959381103516,0.746917188167572,0.0,0.733564019203186,0.8847262263298035,636.0,231.0,1535.0,200.0,3.0
4,0.8358954787254333,0.7795778512954712,0.9032455086708069,0.8240887522697449,0.6220095753669739,0.9371460676193237,0.7089298367500305,0.0,0.8240887522697449,0.8396753072738647,520.0,111.0,1655.0,316.0,4.0
5,0.839738667011261,0.803511381149292,0.9084243774414062,0.7774834632873535,0.7021530866622925,0.9048697352409363,0.7379006743431091,0.0,0.7774834632873535,0.8651868104934692,587.0,168.0,1598.0,249.0,5.0
6,0.8293620347976685,0.8182291984558105,0.9083601236343384,0.7121211886405945,0.7870813608169556,0.8493770956993103,0.7477273344993591,0.0,0.7121211886405945,0.8939213156700134,658.0,266.0,1500.0,178.0,6.0
7,0.8389700055122375,0.8023152351379395,0.9073792695999146,0.7768924236297607,0.6997607946395874,0.9048697352409363,0.736312210559845,0.0,0.7768924236297607,0.8642509579658508,585.0,168.0,1598.0,251.0,7.0
8,0.8216756582260132,0.8251651525497437,0.9060469269752502,0.681640625,0.8349282145500183,0.8154020309448242,0.750537633895874,0.0,0.681640625,0.9125475287437439,698.0,326.0,1440.0,138.0,8.0
9,0.8343582153320312,0.7844295501708984,0.9039702415466309,0.8008915185928345,0.6447368264198303,0.9241223335266113,0.7143803834915161,0.0,0.8008915185928345,0.8460342288017273,539.0,134.0,1632.0,297.0,9.0
10,0.8332052230834961,0.8172809481620789,0.9017878770828247,0.7258427143096924,0.7727272510528564,0.8618346452713013,0.7485515475273132,0.0,0.7258427143096924,0.889018714427948,646.0,244.0,1522.0,190.0,10.0
11,0.8370484113693237,0.7990099191665649,0.9037067890167236,0.7761394381523132,0.6925837397575378,0.9054360389709473,0.7319848537445068,0.0,0.7761394381523132,0.8615301847457886,579.0,167.0,1599.0,257.0,11.0
12,0.8343582153320312,0.8008074760437012,0.8953308463096619,0.760617733001709,0.7069377899169922,0.8946772217750549,0.7327960133552551,0.0,0.760617733001709,0.8657534122467041,591.0,186.0,1580.0,245.0,12.0
13,0.8328208923339844,0.7763679623603821,0.8940737247467041,0.8167456388473511,0.6184210777282715,0.9343148469924927,0.703880250453949,0.0,0.8167456388473511,0.8379888534545898,517.0,116.0,1650.0,319.0,13.0

Run Arguments:
cuda: True
gpu: 0
cuda_block: False
epochs: 100
seed: 3435
patience: 5
monitor_metric: bal_acc
log_every: 10
imbalance_fix: undersampling
data_dir: C:\Users\jjnunez\PycharmProjects\scar_nlp_data\data
results_dir: C:\Users\jjnunez\PycharmProjects\scar_nlp\results
data_version: ppv4
target: survic_mo_60
table: compare_token_len_survic
table_extra: 256
dataset: SCAR
debug: False
load_ckpt: 
lr: 0.001
weight_decay: 0
max_tokens: 256
batch_size: 1
attention_window: 512
pretrained_dir: 
pretrained_file: allenai/longformer-base-4096
device: cuda:0
run_name: Longformer_20220301-0026
results_dir_target: C:\Users\jjnunez\PycharmProjects\scar_nlp\results\survic_mo_60
results_dir_model: C:\Users\jjnunez\PycharmProjects\scar_nlp\results\survic_mo_60\Longformer
