epoch,acc,bal_acc,auc,prec,rec,spec,f1,loss,ppv,npv,tp,fp,tn,fn,epoch
0,0.6787086725234985,0.5,0.4087349772453308,0.0,0.0,1.0,0.0,0.0,0.0,0.6787086725234985,0.0,0.0,1766.0,836.0,0.0
1,0.7993850708007812,0.7747281193733215,0.8467971682548523,0.6812933087348938,0.7057416439056396,0.8437145948410034,0.6933020353317261,0.0,0.6812933087348938,0.8582949042320251,590.0,276.0,1490.0,246.0,1.0
2,0.8266717791557312,0.7995544672012329,0.8930604457855225,0.7333333492279053,0.7236841917037964,0.8754246830940247,0.7284768223762512,0.0,0.7333333492279053,0.8700056076049805,605.0,220.0,1546.0,231.0,2.0
3,0.836664080619812,0.8081755638122559,0.9023975133895874,0.7546468377113342,0.7284688949584961,0.8878822326660156,0.7413268685340881,0.0,0.7546468377113342,0.8735376000404358,609.0,198.0,1568.0,227.0,3.0
4,0.839738667011261,0.8246138095855713,0.9095460772514343,0.7356580495834351,0.7822966575622559,0.8669309020042419,0.7582608461380005,0.0,0.7356580495834351,0.8937536478042603,654.0,235.0,1531.0,182.0,4.0
5,0.8335895538330078,0.8333120942115784,0.9101536273956299,0.7037411332130432,0.8325358629226685,0.8340883255004883,0.7627397179603577,0.0,0.7037411332130432,0.9132052063941956,696.0,293.0,1473.0,140.0,5.0
6,0.8443505167961121,0.8084837198257446,0.9108601212501526,0.7861886024475098,0.7081339955329895,0.9088335037231445,0.7451227903366089,0.0,0.7861886024475098,0.8680367469787598,592.0,161.0,1605.0,244.0,6.0
7,0.8408915996551514,0.8147544860839844,0.9119654893875122,0.7579461932182312,0.7416267991065979,0.8878822326660156,0.749697744846344,0.0,0.7579461932182312,0.878923773765564,620.0,198.0,1568.0,216.0,7.0
8,0.8389700055122375,0.8246774673461914,0.9093218445777893,0.7329608798027039,0.7846890091896057,0.8646659255027771,0.757943332195282,0.0,0.7329608798027039,0.8945518732070923,656.0,239.0,1527.0,180.0,8.0
9,0.8420445919036865,0.8086747527122498,0.9103507399559021,0.7756161093711853,0.7153109908103943,0.9020385146141052,0.7442439198493958,0.0,0.7756161093711853,0.8700163960456848,598.0,173.0,1593.0,238.0,9.0
10,0.8308992981910706,0.790385365486145,0.9036593437194824,0.76902174949646,0.6770334839820862,0.9037372469902039,0.7201018333435059,0.0,0.76902174949646,0.8553054928779602,566.0,170.0,1596.0,270.0,10.0

Run Arguments:
cuda: True
gpu: 0
cuda_block: False
epochs: 100
seed: 3435
patience: 5
monitor_metric: bal_acc
log_every: 10
imbalance_fix: undersampling
data_dir: C:\Users\jjnunez\PycharmProjects\scar_nlp_data\data
results_dir: C:\Users\jjnunez\PycharmProjects\scar_nlp\results
data_version: ppv4
target: survic_mo_60
table: compare_token_len_survic
table_extra: 512
dataset: SCAR
debug: False
load_ckpt: 
lr: 0.001
weight_decay: 0
max_tokens: 512
batch_size: 1
attention_window: 512
pretrained_dir: 
pretrained_file: allenai/longformer-base-4096
device: cuda:0
run_name: Longformer_20220310-1550
results_dir_target: C:\Users\jjnunez\PycharmProjects\scar_nlp\results\survic_mo_60
results_dir_model: C:\Users\jjnunez\PycharmProjects\scar_nlp\results\survic_mo_60\Longformer
