epoch,acc,bal_acc,auc,prec,rec,spec,f1,loss,ppv,npv,tp,fp,tn,fn,epoch
0,0.32129132747650146,0.5,0.5650373101234436,0.32129132747650146,1.0,0.0,0.4863292872905731,0.0,0.32129132747650146,0.0,836.0,1766.0,0.0,0.0,0.0
1,0.8101460337638855,0.7684824466705322,0.8640725612640381,0.7286096215248108,0.6519138813018799,0.8850509524345398,0.6881313323974609,0.0,0.7286096215248108,0.8430420756340027,545.0,203.0,1563.0,291.0,1.0
2,0.8289777040481567,0.780465841293335,0.8977895975112915,0.784570574760437,0.6447368264198303,0.9161947965621948,0.7078135013580322,0.0,0.784570574760437,0.844908595085144,539.0,148.0,1618.0,297.0,2.0
3,0.8462721109390259,0.8089544773101807,0.9090740084648132,0.7938005328178406,0.7045454382896423,0.913363516330719,0.7465145587921143,0.0,0.7938005328178406,0.8672043085098267,589.0,153.0,1613.0,247.0,3.0
4,0.8451191186904907,0.7929869890213013,0.910957932472229,0.8335901498794556,0.6471291780471802,0.9388448596000671,0.7286195158958435,0.0,0.8335901498794556,0.8489503264427185,541.0,108.0,1658.0,295.0,4.0
5,0.8547271490097046,0.8158131837844849,0.915113091468811,0.8162983655929565,0.7069377899169922,0.9246885776519775,0.757692277431488,0.0,0.8162983655929565,0.8695420622825623,591.0,133.0,1633.0,245.0,5.0
6,0.8466564416885376,0.829395055770874,0.9161677360534668,0.7514384388923645,0.7811004519462585,0.8776897192001343,0.765982449054718,0.0,0.7514384388923645,0.8944027423858643,653.0,216.0,1550.0,183.0,6.0
7,0.850883960723877,0.8359740376472473,0.9169608354568481,0.7545454502105713,0.7942583560943604,0.8776897192001343,0.7738927602767944,0.0,0.7545454502105713,0.9001161456108093,664.0,216.0,1550.0,172.0,7.0
8,0.8501152992248535,0.8136755228042603,0.914344310760498,0.7997311949729919,0.7117224931716919,0.9156285524368286,0.7531645894050598,0.0,0.7997311949729919,0.8702906370162964,595.0,149.0,1617.0,241.0,8.0
9,0.8412759304046631,0.8257462978363037,0.912703812122345,0.7389830350875854,0.7822966575622559,0.8691959381103516,0.7600232362747192,0.0,0.7389830350875854,0.8940011858940125,654.0,231.0,1535.0,182.0,9.0
10,0.8420445919036865,0.8023755550384521,0.9085510969161987,0.7906976938247681,0.6913875341415405,0.913363516330719,0.7377153635025024,0.0,0.7906976938247681,0.8621058464050293,578.0,153.0,1613.0,258.0,10.0
11,0.8362798094749451,0.8154515027999878,0.9048833250999451,0.7394859790802002,0.7571770548820496,0.873725950717926,0.7482268810272217,0.0,0.7394859790802002,0.8837342262268066,633.0,223.0,1543.0,203.0,11.0
12,0.8362798094749451,0.8208057880401611,0.8992322683334351,0.7303370833396912,0.7775119543075562,0.8640996813774109,0.7531865835189819,0.0,0.7303370833396912,0.8913551568984985,650.0,240.0,1526.0,186.0,12.0

Run Arguments:
cuda: True
gpu: 0
cuda_block: False
epochs: 100
seed: 3435
patience: 5
monitor_metric: bal_acc
log_every: 10
imbalance_fix: undersampling
data_dir: C:\Users\jjnunez\PycharmProjects\scar_nlp_data\data
results_dir: C:\Users\jjnunez\PycharmProjects\scar_nlp\results
data_version: ppv4
target: survic_mo_60
table: compare_token_len_survic
table_extra: 1024
dataset: SCAR
debug: False
load_ckpt: 
lr: 0.001
weight_decay: 0
max_tokens: 1024
batch_size: 1
attention_window: 512
pretrained_dir: 
pretrained_file: allenai/longformer-base-4096
device: cuda:0
run_name: Longformer_20220315-1653
results_dir_target: C:\Users\jjnunez\PycharmProjects\scar_nlp\results\survic_mo_60
results_dir_model: C:\Users\jjnunez\PycharmProjects\scar_nlp\results\survic_mo_60\Longformer
