epoch,acc,bal_acc,auc,prec,rec,spec,f1,loss,ppv,npv,tp,fp,tn,fn,epoch
0,0.32129132747650146,0.5,0.4414752721786499,0.32129132747650146,1.0,0.0,0.4863292872905731,0.0,0.32129132747650146,0.0,836.0,1766.0,0.0,0.0,0.0
1,0.8101460337638855,0.7757264971733093,0.8664751052856445,0.7153652310371399,0.679425835609436,0.8720271587371826,0.6969324946403503,0.0,0.7153652310371399,0.8517699241638184,568.0,226.0,1540.0,268.0,1.0
2,0.8339738845825195,0.8194220066070557,0.8997585773468018,0.7249442934989929,0.7787081599235535,0.8601359128952026,0.75086510181427,0.0,0.7249442934989929,0.8914319276809692,651.0,247.0,1519.0,185.0,2.0
3,0.8451191186904907,0.8282625675201416,0.9108810424804688,0.7479954361915588,0.7811004519462585,0.8754246830940247,0.764189600944519,0.0,0.7479954361915588,0.8941584825515747,653.0,220.0,1546.0,183.0,3.0
4,0.8481937050819397,0.7999764680862427,0.9148015379905701,0.8286139965057373,0.6650717854499817,0.9348810911178589,0.7378898859024048,0.0,0.8286139965057373,0.8549973964691162,556.0,115.0,1651.0,280.0,4.0
5,0.8593389987945557,0.8242500424385071,0.9159834384918213,0.8158602118492126,0.7260765433311462,0.9224235415458679,0.7683544158935547,0.0,0.8158602118492126,0.8767492175102234,607.0,137.0,1629.0,229.0,5.0
6,0.8597232699394226,0.838706374168396,0.9216690063476562,0.7827130556106567,0.779904305934906,0.8975085020065308,0.7813061475753784,0.0,0.7827130556106567,0.8959864377975464,652.0,181.0,1585.0,184.0,6.0
7,0.8570330739021301,0.8301103711128235,0.9193152785301208,0.7907268404960632,0.7547847032546997,0.9054360389709473,0.7723378539085388,0.0,0.7907268404960632,0.8863636255264282,631.0,167.0,1599.0,205.0,7.0
8,0.8562644124031067,0.8323787450790405,0.9185430407524109,0.7823960781097412,0.7655502557754517,0.8992072343826294,0.7738814949989319,0.0,0.7823960781097412,0.8901345133781433,640.0,178.0,1588.0,196.0,8.0
9,0.8416602611541748,0.8137459754943848,0.9135857224464417,0.7630273103713989,0.7356459498405457,0.8918460011482239,0.7490865588188171,0.0,0.7630273103713989,0.8769487738609314,615.0,191.0,1575.0,221.0,9.0
10,0.8481937050819397,0.8346220254898071,0.9123651385307312,0.747474730014801,0.7966507077217102,0.8725934028625488,0.7712796330451965,0.0,0.747474730014801,0.9006428718566895,666.0,225.0,1541.0,170.0,10.0
11,0.8259031772613525,0.8295393586158752,0.9080904722213745,0.6875612139701843,0.839712917804718,0.8193657994270325,0.7560581564903259,0.0,0.6875612139701843,0.9152435064315796,702.0,319.0,1447.0,134.0,11.0

Run Arguments:
cuda: True
gpu: 0
cuda_block: False
epochs: 100
seed: 3435
patience: 5
monitor_metric: bal_acc
log_every: 10
imbalance_fix: undersampling
data_dir: C:\Users\jjnunez\PycharmProjects\scar_nlp_data\data
results_dir: C:\Users\jjnunez\PycharmProjects\scar_nlp\results
data_version: ppv4
target: survic_mo_60
table: compare_token_len_survic
table_extra: 2048
dataset: SCAR
debug: False
load_ckpt: 
lr: 0.001
weight_decay: 0
max_tokens: 2048
batch_size: 1
attention_window: 512
pretrained_dir: 
pretrained_file: allenai/longformer-base-4096
device: cuda:0
run_name: Longformer_20220316-2234
results_dir_target: C:\Users\jjnunez\PycharmProjects\scar_nlp\results\survic_mo_60
results_dir_model: C:\Users\jjnunez\PycharmProjects\scar_nlp\results\survic_mo_60\Longformer
