Datetime,Run Name,Finished,Table,Platform,Model,Target,Data,Mode,Pretrained Model,Embedding Dimension,Word Dimension,BoW Classifier,BoW LR C,CNN Output Channels,LSTM Layers,LSTM Hidden Dimension,LSTM Bidirectional,Max Tokens,CUDA Blocking,Epochs,Learning Rate,Patience,Class Imbalance Fix,Accuracy,Balanced Accuracy,AUC,F1,Recall,Precision,Specificity,PPV,NPV,TP,TN,FP,FN,LaTeX String,Table Extra
,BoW_20220208-2116,20220208-2120,survival_dif_lengths,SCAR_NLP,BoW,survic_mo_60,ppv4,,,,,l2logreg,0.2,,,,,5000.0,0,1,,5,loss_weight,0.837817073,0.833591819,0.833591759,0.765033424,0.82177031,0.715624988,0.845413387,0.715625,0.909257004,687.0,1493.0,273.0,149.0,BoW & 0.84 & 0.83 & 0.83 & 0.77 & 0.82 & 0.85 \\,
,CNN_20220208-2226,20220208-2306,survival_dif_lengths,SCAR_NLP,CNN,survic_mo_60,ppv4,rand,GoogleNews-vectors-negative300.txt,300.0,300.0,,,500.0,,,,,FALSE,100,1e-05,5,loss_weight,0.860491931,0.861634851,0.933220983,0.799336672,0.86483252,0.743062675,0.858437121,0.743062693,0.93063229,723.0,1516.0,250.0,113.0,CNN & 0.86 & 0.86 & 0.93 & 0.8 & 0.86 & 0.86 \\,
,BoW_20220210-1725,20220210-1729,survival_dif_lengths,SCAR_NLP,BoW,survic_mo_60,ppv4,,,,,l2logreg,0.2,,,,,5000.0,FALSE,1,,5,loss_weight,0.837817073,0.833591819,0.833591759,0.765033424,0.82177031,0.715624988,0.845413387,0.715625,0.909257004,687.0,1493.0,273.0,149.0,BoW & 60 & 0.84 & 0.83 & 0.83 & 0.77 & 0.82 & 0.85 \\,60.0
,CNN_20220210-1849,20220210-1937,survival_dif_lengths,SCAR_NLP,CNN,survic_mo_60,ppv4,rand,GoogleNews-vectors-negative300.txt,300.0,300.0,,,500.0,,,,,FALSE,100,1e-05,5,loss_weight,0.863950789,0.860718369,0.935124934,0.800899863,0.851674616,0.755838633,0.869762182,0.755838641,0.925301205,712.0,1536.0,230.0,124.0,CNN & 60 & 0.86 & 0.86 & 0.94 & 0.8 & 0.85 & 0.87 \\,60.0
,BoW_20220214-1607,20220214-1612,,SCAR_NLP,BoW,survic_mo_60,ppv4,,,,,l2logreg,0.2,,,,,5000.0,FALSE,1,,5,loss_weight,0.837817073,0.833591819,0.833591759,0.765033424,0.82177031,0.715624988,0.845413387,0.715625,0.909257004,687.0,1493.0,273.0,149.0,BoW & 0.84 & 0.83 & 0.83 & 0.77 & 0.72 & 0.82 \\,
,BoW_20220214-1630,20220214-1634,,SCAR_NLP,BoW,survic_mo_60,ppv4,,,,,l2logreg,0.2,,,,,5000.0,FALSE,1,,5,loss_weight,0.833589554,0.827012897,0.827012897,0.757422984,0.808612466,0.712328792,0.845413387,0.712328767,0.903206292,676.0,1493.0,273.0,160.0,BoW & 0.83 & 0.83 & 0.83 & 0.76 & 0.71 & 0.81 \\,
,BoW_20220214-1643,20220214-1648,,SCAR_NLP,BoW,survic_mo_60,ppv4,,,,,l2logreg,0.2,,,,,5000.0,FALSE,1,,5,loss_weight,0.837817073,0.833591819,0.833591759,0.765033424,0.82177031,0.715624988,0.845413387,0.715625,0.909257004,687.0,1493.0,273.0,149.0,BoW & 0.84 & 0.83 & 0.83 & 0.77 & 0.72 & 0.82 \\,
,BoW_20220216-0522,20220216-0526,survival_dif_lengths,SCAR_NLP,BoW,survic_mo_60,ppv4,,,,,l2logreg,0.2,,,,,5000.0,FALSE,1,,5,loss_weight,0.837817073,0.833591819,0.833591759,0.765033424,0.82177031,0.715624988,0.845413387,0.715625,0.909257004,687.0,1493.0,273.0,149.0,BoW & 60 & 0.84 & 0.83 & 0.83 & 0.77 & 0.72 & 0.82 \\,60.0
,CNN_20220216-0653,20220216-0720,survival_dif_lengths,SCAR_NLP,CNN,survic_mo_60,ppv4,rand,GoogleNews-vectors-negative300.txt,300.0,300.0,,,500.0,,,,,FALSE,100,1e-05,5,loss_weight,0.844350517,0.853838086,0.926330447,0.784230173,0.880382776,0.707012475,0.827293336,0.707012488,0.935938501,736.0,1461.0,305.0,100.0,CNN & 60 & 0.84 & 0.85 & 0.93 & 0.78 & 0.71 & 0.88 \\,60.0
,BoW_20220216-1112,20220216-1116,survival_all_models,SCAR_NLP,BoW,survic_mo_60,ppv4,,,,,l2logreg,0.2,,,,,5000.0,FALSE,1,,5,loss_weight,0.837817073,0.833591819,0.833591759,0.765033424,0.82177031,0.715624988,0.845413387,0.715625,0.909257004,687.0,1493.0,273.0,149.0,BoW & 0.84 & 0.83 & 0.83 & 0.77 & 0.72 & 0.82 \\,
