BoW	6	0.849	0.856	0.928	0.907	0.977	0.866
BoW	36	0.837	0.837	0.915	0.872	0.91	0.838
BoW	60	0.823	0.835	0.915	0.856	0.923	0.871
CNN	6	0.843	0.853	0.926	0.903	0.977	0.867
CNN	36	0.844	0.842	0.918	0.878	0.91	0.836
CNN	60	0.828	0.837	0.918	0.862	0.922	0.809
LSTM	6	0.799	0.847	0.923	0.872	0.984	0.912
LSTM	36	0.83	0.836	0.914	0.864	0.917	0.856
LSTM	60	0.826	0.834	0.914	0.86	0.918	0.81
BERT	6	0.859	0.815	0.906	0.915	0.96	0.756
BERT	36	0.799	0.815	0.901	0.834	0.917	0.866
BERT	60	0.804	0.813	0.894	0.842	0.905	0.838

